a,b,c,seed,model,metric,value
0.3,0.1,0.5,7850,eta0,AUC,0.9550542744734378
0.3,0.1,0.5,7850,eta0,F,0.7681451612903226
0.3,0.1,0.5,7850,eta0,ACC,0.89058039961941
0.3,0.1,0.5,7850,eta0_bench,AUC,0.9550542744734378
0.3,0.1,0.5,7850,eta0_bench,F,0.6986225895316805
0.3,0.1,0.5,7850,eta0_bench,ACC,0.8698858230256898
0.3,0.1,0.5,7850,eta1,AUC,0.4588077483525754
0.3,0.1,0.5,7850,eta1,F,0.9180023228803716
0.3,0.1,0.5,7850,eta1,ACC,0.8491452991452991
0.3,0.1,0.5,7850,eta1_bench,AUC,0.5149027768764712
0.3,0.1,0.5,7850,eta1_bench,F,0.0835663249456353
0.3,0.1,0.5,7850,eta1_bench,ACC,0.15954415954415954
0.3,0.1,0.5,7850,eta,AUC,0.6351855864989333
0.3,0.1,0.5,7850,eta,F,0.7404222550214979
0.3,0.1,0.5,7850,eta,ACC,0.6396115466856735
0.3,0.1,0.5,7850,eta_bench,AUC,0.6490879762318337
0.3,0.1,0.5,7850,eta_bench,F,0.18855801309773879
0.3,0.1,0.5,7850,eta_bench,ACC,0.41491446899501067
0.3,0.1,0.5,4920,eta0,AUC,0.953726678847531
0.3,0.1,0.5,4920,eta0,F,0.7817817817817818
0.3,0.1,0.5,4920,eta0,ACC,0.8962892483349191
0.3,0.1,0.5,4920,eta0_bench,AUC,0.953726678847531
0.3,0.1,0.5,4920,eta0_bench,F,0.6771830985915492
0.3,0.1,0.5,4920,eta0_bench,ACC,0.8637012369172217
0.3,0.1,0.5,4920,eta1,AUC,0.4572438380125895
0.3,0.1,0.5,4920,eta1,F,0.9164988381099922
0.3,0.1,0.5,4920,eta1,ACC,0.8464387464387464
0.3,0.1,0.5,4920,eta1_bench,AUC,0.5228661279475184
0.3,0.1,0.5,4920,eta1_bench,F,0.04840240430243594
0.3,0.1,0.5,4920,eta1_bench,ACC,0.14301994301994303
0.3,0.1,0.5,4920,eta,AUC,0.6212180934692659
0.3,0.1,0.5,4920,eta,F,0.7345435751663544
0.3,0.1,0.5,4920,eta,ACC,0.6339094796863863
0.3,0.1,0.5,4920,eta_bench,AUC,0.6534640938790235
0.3,0.1,0.5,4920,eta_bench,F,0.16231811339688912
0.3,0.1,0.5,4920,eta_bench,ACC,0.4050249465431219
0.3,0.1,0.5,136,eta0,AUC,0.9547914524303579
0.3,0.1,0.5,136,eta0,F,0.7719118400820092
0.3,0.1,0.5,136,eta0,ACC,0.8941484300666033
0.3,0.1,0.5,136,eta0_bench,AUC,0.9547914524303579
0.3,0.1,0.5,136,eta0_bench,F,0.6857142857142858
0.3,0.1,0.5,136,eta0_bench,ACC,0.8665556612749762
0.3,0.1,0.5,136,eta1,AUC,0.45630029290825747
0.3,0.1,0.5,136,eta1,F,0.9148573200992556
0.3,0.1,0.5,136,eta1,ACC,0.8435897435897436
0.3,0.1,0.5,136,eta1_bench,AUC,0.5028153335850436
0.3,0.1,0.5,136,eta1_bench,F,0.04841006169909824
0.3,0.1,0.5,136,eta1_bench,ACC,0.14316239316239315
0.3,0.1,0.5,136,eta,AUC,0.6389223974269896
0.3,0.1,0.5,136,eta,F,0.7372996820865504
0.3,0.1,0.5,136,eta,ACC,0.6392551674982181
0.3,0.1,0.5,136,eta_bench,AUC,0.6626956091358124
0.3,0.1,0.5,136,eta_bench,F,0.17055230021194365
0.3,0.1,0.5,136,eta_bench,ACC,0.40725231646471843
0.3,0.1,0.5,3650,eta0,AUC,0.9539955262867952
0.3,0.1,0.5,3650,eta0,F,0.7900744416873449
0.3,0.1,0.5,3650,eta0,ACC,0.8993815413891532
0.3,0.1,0.5,3650,eta0_bench,AUC,0.9539955262867952
0.3,0.1,0.5,3650,eta0_bench,F,0.7084708470847085
0.3,0.1,0.5,3650,eta0_bench,ACC,0.8739295908658421
0.3,0.1,0.5,3650,eta1,AUC,0.45442168317532605
