a,b,c,seed,model,metric,value
0.3,0.1,0.5,9892,eta0,AUC,0.4727784077345429
0.3,0.1,0.5,9892,eta0,F,0.16590463749183543
0.3,0.1,0.5,9892,eta0,ACC,0.6962416745956232
0.3,0.1,0.5,9892,eta0_bench,AUC,0.4727784077345429
0.3,0.1,0.5,9892,eta0_bench,F,0.16590463749183543
0.3,0.1,0.5,9892,eta0_bench,ACC,0.6962416745956232
0.3,0.1,0.5,9892,eta1,AUC,0.9100986611172399
0.3,0.1,0.5,9892,eta1,F,0.9020905923344947
0.3,0.1,0.5,9892,eta1,ACC,0.8398860398860399
0.3,0.1,0.5,9892,eta1_bench,AUC,0.6394608703475373
0.3,0.1,0.5,9892,eta1_bench,F,0.6988257695969533
0.3,0.1,0.5,9892,eta1_bench,ACC,0.5944444444444444
0.3,0.1,0.5,9892,eta,AUC,0.7049980681266508
0.3,0.1,0.5,9892,eta,F,0.7214490832781091
0.3,0.1,0.5,9892,eta,ACC,0.6629543834640057
0.3,0.1,0.5,9892,eta_bench,AUC,0.5512532749985525
0.3,0.1,0.5,9892,eta_bench,F,0.48791445772306585
0.3,0.1,0.5,9892,eta_bench,ACC,0.4922487526728439
0.3,0.1,0.5,342,eta0,AUC,0.471591691609894
0.3,0.1,0.5,342,eta0,F,0.11103100216294161
0.3,0.1,0.5,342,eta0,ACC,0.7067078972407231
0.3,0.1,0.5,342,eta0_bench,AUC,0.471591691609894
0.3,0.1,0.5,342,eta0_bench,F,0.11103100216294161
0.3,0.1,0.5,342,eta0_bench,ACC,0.7067078972407231
0.3,0.1,0.5,342,eta1,AUC,0.9188595456234846
0.3,0.1,0.5,342,eta1,F,0.8880782918149465
0.3,0.1,0.5,342,eta1,ACC,0.8207977207977208
0.3,0.1,0.5,342,eta1_bench,AUC,0.6478438206091783
0.3,0.1,0.5,342,eta1_bench,F,0.7147479386285357
0.3,0.1,0.5,342,eta1_bench,ACC,0.6106837606837607
0.3,0.1,0.5,342,eta,AUC,0.6953115257122878
0.3,0.1,0.5,342,eta,F,0.7250526927829057
0.3,0.1,0.5,342,eta,ACC,0.6629543834640057
0.3,0.1,0.5,342,eta_bench,AUC,0.5471209380553439
0.3,0.1,0.5,342,eta_bench,F,0.48922026590010786
0.3,0.1,0.5,342,eta_bench,ACC,0.49340698503207414
0.3,0.1,0.5,8015,eta0,AUC,0.4645726789026204
0.3,0.1,0.5,8015,eta0,F,0.12966878083157155
0.3,0.1,0.5,8015,eta0,ACC,0.706232159847764
0.3,0.1,0.5,8015,eta0_bench,AUC,0.4645726789026204
0.3,0.1,0.5,8015,eta0_bench,F,0.12966878083157155
0.3,0.1,0.5,8015,eta0_bench,ACC,0.706232159847764
0.3,0.1,0.5,8015,eta1,AUC,0.9175847088910781
0.3,0.1,0.5,8015,eta1,F,0.8864547154688752
0.3,0.1,0.5,8015,eta1,ACC,0.8183760683760684
0.3,0.1,0.5,8015,eta1_bench,AUC,0.6157898346380974
0.3,0.1,0.5,8015,eta1_bench,F,0.6874532835024026
0.3,0.1,0.5,8015,eta1_bench,ACC,0.583048433048433
0.3,0.1,0.5,8015,eta,AUC,0.7002936503164486
0.3,0.1,0.5,8015,eta,F,0.7326463432088164
0.3,0.1,0.5,8015,eta,ACC,0.6671418389166073
0.3,0.1,0.5,8015,eta_bench,AUC,0.5392651866401215
0.3,0.1,0.5,8015,eta_bench,F,0.5830917495886547
0.3,0.1,0.5,8015,eta_bench,ACC,0.5259265858873842
0.3,0.1,0.5,6808,eta0,AUC,0.4715799277411536
0.3,0.1,0.5,6808,eta0,F,0.11821974965229487
0.3,0.1,0.5,6808,eta0,ACC,0.698382492863939
0.3,0.1,0.5,6808,eta0_bench,AUC,0.4715799277411536
