a,b,c,seed,model,metric,value
0.3,0.1,0.5,9892,eta0,AUC,0.4727784077345429
0.3,0.1,0.5,9892,eta0,F,0.10457516339869283
0.3,0.1,0.5,9892,eta0,ACC,0.7067078972407231
0.3,0.1,0.5,9892,eta0_bench,AUC,0.4727784077345429
0.3,0.1,0.5,9892,eta0_bench,F,0.07806401249024199
0.3,0.1,0.5,9892,eta0_bench,ACC,0.7190770694576594
0.3,0.1,0.5,9892,eta1,AUC,0.9100986611172399
0.3,0.1,0.5,9892,eta1,F,0.9459269113389154
0.3,0.1,0.5,9892,eta1,ACC,0.9015669515669515
0.3,0.1,0.5,9892,eta1_bench,AUC,0.6394608703475373
0.3,0.1,0.5,9892,eta1_bench,F,0.7071406102547971
0.3,0.1,0.5,9892,eta1_bench,ACC,0.6021367521367521
0.3,0.1,0.5,9892,eta,AUC,0.7049980681266508
0.3,0.1,0.5,9892,eta,F,0.7910299416076532
0.3,0.1,0.5,9892,eta,ACC,0.7002851033499644
0.3,0.1,0.5,9892,eta_bench,AUC,0.5512532749985525
0.3,0.1,0.5,9892,eta_bench,F,0.09615880381541635
0.3,0.1,0.5,9892,eta_bench,ACC,0.3752672843905916
0.3,0.1,0.5,342,eta0,AUC,0.471591691609894
0.3,0.1,0.5,342,eta0,F,0.11505681818181819
0.3,0.1,0.5,342,eta0,ACC,0.703615604186489
0.3,0.1,0.5,342,eta0_bench,AUC,0.471591691609894
0.3,0.1,0.5,342,eta0_bench,F,0.07840122982321292
0.3,0.1,0.5,342,eta0_bench,ACC,0.7147954329210275
0.3,0.1,0.5,342,eta1,AUC,0.9188595456234846
0.3,0.1,0.5,342,eta1,F,0.9487179487179488
0.3,0.1,0.5,342,eta1,ACC,0.9065527065527066
0.3,0.1,0.5,342,eta1_bench,AUC,0.6478438206091783
0.3,0.1,0.5,342,eta1_bench,F,0.7135394901796908
0.3,0.1,0.5,342,eta1_bench,ACC,0.6094017094017095
0.3,0.1,0.5,342,eta,AUC,0.6953115257122878
0.3,0.1,0.5,342,eta,F,0.7888957433682912
0.3,0.1,0.5,342,eta,ACC,0.6951176051318603
0.3,0.1,0.5,342,eta_bench,AUC,0.5471209380553439
0.3,0.1,0.5,342,eta_bench,F,0.09816266221251445
0.3,0.1,0.5,342,eta_bench,ACC,0.37464362081254454
0.3,0.1,0.5,8015,eta0,AUC,0.4645726789026204
0.3,0.1,0.5,8015,eta0,F,0.12082444918265815
0.3,0.1,0.5,8015,eta0,ACC,0.705756422454805
0.3,0.1,0.5,8015,eta0_bench,AUC,0.4645726789026204
0.3,0.1,0.5,8015,eta0_bench,F,0.07355242566510171
0.3,0.1,0.5,8015,eta0_bench,ACC,0.7183634633682208
0.3,0.1,0.5,8015,eta1,AUC,0.9175847088910781
0.3,0.1,0.5,8015,eta1,F,0.9497652582159625
0.3,0.1,0.5,8015,eta1,ACC,0.9085470085470085
0.3,0.1,0.5,8015,eta1_bench,AUC,0.6157898346380974
0.3,0.1,0.5,8015,eta1_bench,F,0.694011658717541
0.3,0.1,0.5,8015,eta1_bench,ACC,0.5887464387464387
0.3,0.1,0.5,8015,eta,AUC,0.7002936503164486
0.3,0.1,0.5,8015,eta,F,0.7919496234102976
0.3,0.1,0.5,8015,eta,ACC,0.6997505345687812
0.3,0.1,0.5,8015,eta_bench,AUC,0.5392651866401215
0.3,0.1,0.5,8015,eta_bench,F,0.08392880342990776
0.3,0.1,0.5,8015,eta_bench,ACC,0.37179258731290094
0.3,0.1,0.5,6808,eta0,AUC,0.4715799277411536
0.3,0.1,0.5,6808,eta0,F,0.08053691275167785
0.3,0.1,0.5,6808,eta0,ACC,0.7067078972407231
0.3,0.1,0.5,6808,eta0_bench,AUC,0.4715799277411536
0.3,0.1,0.5,6808,eta0_bench,F,0.04908946951702296
0.3,0.1,0.5,6808,eta0_bench,ACC,0.7143196955280685
0.3,0.1,0.5,6808,eta1,AUC,0.9094976534892365
0.3,0.1,0.5,6808,eta1,F,0.9453663118346901
0.3,0.1,0.5,6808,eta1,ACC,0.9005698005698005
0.3,0.1,0.5,6808,eta1_bench,AUC,0.6547354976490647
0.3,0.1,0.5,6808,eta1_bench,F,0.718727253821358
0.3,0.1,0.5,6808,eta1_bench,ACC,0.6146723646723646
0.3,0.1,0.5,6808,eta,AUC,0.6938194736730758
0.3,0.1,0.5,6808,eta,F,0.7881895113966273
0.3,0.1,0.5,6808,eta,ACC,0.6944939415538133
0.3,0.1,0.5,6808,eta_bench,AUC,0.5271012741456331
0.3,0.1,0.5,6808,eta_bench,F,0.06812524564391459
0.3,0.1,0.5,6808,eta_bench,ACC,0.3662687099073414
0.3,0.1,0.5,9436,eta0,AUC,0.46442032245624987
0.3,0.1,0.5,9436,eta0,F,0.04815409309791332
0.3,0.1,0.5,9436,eta0,ACC,0.7178877259752616
