a,b,c,seed,model,metric,value
0.3,0.1,0.5,3681,eta0,AUC,0.45727031721259004
0.3,0.1,0.5,3681,eta0,F,0.5628090999010881
0.3,0.1,0.5,3681,eta0,ACC,0.425414364640884
0.3,0.1,0.5,3681,eta0_bench,AUC,0.45727031721259004
0.3,0.1,0.5,3681,eta0_bench,F,0.6000959002637256
0.3,0.1,0.5,3681,eta0_bench,ACC,0.45791355216119595
0.3,0.1,0.5,3681,eta1,AUC,0.8779943455305786
0.3,0.1,0.5,3681,eta1,F,0.589247311827957
0.3,0.1,0.5,3681,eta1,ACC,0.7250809643756747
0.3,0.1,0.5,3681,eta1_bench,AUC,0.6938653359775946
0.3,0.1,0.5,3681,eta1_bench,F,0.5859375
0.3,0.1,0.5,3681,eta1_bench,ACC,0.8474271320618928
0.3,0.1,0.5,3681,eta,AUC,0.584709612217521
0.3,0.1,0.5,3681,eta,F,0.5219477519104319
0.3,0.1,0.5,3681,eta,ACC,0.5406420765027322
0.3,0.1,0.5,3681,eta_bench,AUC,0.6301906732921134
0.3,0.1,0.5,3681,eta_bench,F,0.3584969917130208
0.3,0.1,0.5,3681,eta_bench,ACC,0.5175034153005464
0.3,0.1,0.5,4190,eta0,AUC,0.4691061410674795
0.3,0.1,0.5,4190,eta0,F,0.5805115712545675
0.3,0.1,0.5,4190,eta0,ACC,0.4403639909002275
0.3,0.1,0.5,4190,eta0_bench,AUC,0.4691061410674795
0.3,0.1,0.5,4190,eta0_bench,F,0.6090681899321669
0.3,0.1,0.5,4190,eta0_bench,ACC,0.46620084497887554
0.3,0.1,0.5,4190,eta1,AUC,0.8718309812393203
0.3,0.1,0.5,4190,eta1,F,0.5911915698459875
0.3,0.1,0.5,4190,eta1,ACC,0.7277797768981648
0.3,0.1,0.5,4190,eta1_bench,AUC,0.5618660486886411
0.3,0.1,0.5,4190,eta1_bench,F,0.48745519713261654
0.3,0.1,0.5,4190,eta1_bench,ACC,0.8198992443324937
0.3,0.1,0.5,4190,eta,AUC,0.602492514514416
0.3,0.1,0.5,4190,eta,F,0.5327417923691216
0.3,0.1,0.5,4190,eta,ACC,0.5503756830601093
0.3,0.1,0.5,4190,eta_bench,AUC,0.634608781204854
0.3,0.1,0.5,4190,eta_bench,F,0.36710851494046287
0.3,0.1,0.5,4190,eta_bench,ACC,0.5189549180327869
0.3,0.1,0.5,3846,eta0,AUC,0.45006546603986847
0.3,0.1,0.5,3846,eta0,F,0.5834648537088746
0.3,0.1,0.5,3846,eta0,ACC,0.4424764380890478
0.3,0.1,0.5,3846,eta0_bench,AUC,0.45006546603986847
0.3,0.1,0.5,3846,eta0_bench,F,0.6055985705777248
0.3,0.1,0.5,3846,eta0_bench,ACC,0.461975950601235
0.3,0.1,0.5,3846,eta1,AUC,0.8948812074476091
0.3,0.1,0.5,3846,eta1,F,0.6108949416342412
0.3,0.1,0.5,3846,eta1,ACC,0.7481108312342569
0.3,0.1,0.5,3846,eta1_bench,AUC,0.6185939007870809
0.3,0.1,0.5,3846,eta1_bench,F,0.5523255813953488
0.3,0.1,0.5,3846,eta1_bench,ACC,0.8337531486146096
0.3,0.1,0.5,3846,eta,AUC,0.6117784502670456
0.3,0.1,0.5,3846,eta,F,0.544782034346103
0.3,0.1,0.5,3846,eta,ACC,0.5586577868852459
0.3,0.1,0.5,3846,eta_bench,AUC,0.6291193204125853
0.3,0.1,0.5,3846,eta_bench,F,0.36838580040187546
0.3,0.1,0.5,3846,eta_bench,ACC,0.516905737704918
0.3,0.1,0.5,4409,eta0,AUC,0.45220634758033906
0.3,0.1,0.5,4409,eta0,F,0.5681650700073693
0.3,0.1,0.5,4409,eta0,ACC,0.4286642833929152
0.3,0.1,0.5,4409,eta0_bench,AUC,0.45220634758033906
0.3,0.1,0.5,4409,eta0_bench,F,0.6025334608030593
0.3,0.1,0.5,4409,eta0_bench,ACC,0.4595385115372116
0.3,0.1,0.5,4409,eta1,AUC,0.8887967873405991
0.3,0.1,0.5,4409,eta1,F,0.6142738128297694
0.3,0.1,0.5,4409,eta1,ACC,0.7500899604174164
0.3,0.1,0.5,4409,eta1_bench,AUC,0.656391564629464
0.3,0.1,0.5,4409,eta1_bench,F,0.5789473684210525
0.3,0.1,0.5,4409,eta1_bench,ACC,0.8416696653472472
0.3,0.1,0.5,4409,eta,AUC,0.5969428976244026
0.3,0.1,0.5,4409,eta,F,0.5225904967214587
0.3,0.1,0.5,4409,eta,ACC,0.5461919398907104
0.3,0.1,0.5,4409,eta_bench,AUC,0.6203503202766283
0.3,0.1,0.5,4409,eta_bench,F,0.3522906793048973
0.3,0.1,0.5,4409,eta_bench,ACC,0.5099043715846995
0.3,0.1,0.5,1442,eta0,AUC,0.456829859745143
0.3,0.1,0.5,1442,eta0,F,0.5474051896207585
0.3,0.1,0.5,1442,eta0,ACC,0.41046473838154046
0.3,0.1,0.5,1442,eta0_bench,AUC,0.456829859745143
0.3,0.1,0.5,1442,eta0_bench,F,0.5926638604930848
0.3,0.1,0.5,1442,eta0_bench,ACC,0.4496262593435164
0.3,0.1,0.5,1442,eta1,AUC,0.8754911877632088
0.3,0.1,0.5,1442,eta1,F,0.5920086980157652
0.3,0.1,0.5,1442,eta1,ACC,0.7299388269161569
0.3,0.1,0.5,1442,eta1_bench,AUC,0.6220611736270352
0.3,0.1,0.5,1442,eta1_bench,F,0.5345849802371541
0.3,0.1,0.5,1442,eta1_bench,ACC,0.8305145735876215
0.3,0.1,0.5,1442,eta,AUC,0.601914286086068
0.3,0.1,0.5,1442,eta,F,0.522910076818798
