a,b,c,seed,model,metric,value
0.3,0.1,0.5,1765,eta0,AUC,0.9693740023351419
0.3,0.1,0.5,1765,eta0,F,0.9620112764580829
0.3,0.1,0.5,1765,eta0,ACC,0.9332141696457589
0.3,0.1,0.5,1765,eta0_bench,AUC,0.9693740023351419
0.3,0.1,0.5,1765,eta0_bench,F,0.9446284902981542
0.3,0.1,0.5,1765,eta0_bench,ACC,0.9049398765030874
0.3,0.1,0.5,1765,eta1,AUC,0.4824096494878219
0.3,0.1,0.5,1765,eta1,F,0.26560509554140127
0.3,0.1,0.5,1765,eta1,ACC,0.5851025548758546
0.3,0.1,0.5,1765,eta1_bench,AUC,0.5717086177537354
0.3,0.1,0.5,1765,eta1_bench,F,0.21991940126655152
0.3,0.1,0.5,1765,eta1_bench,ACC,0.7562072688017273
0.3,0.1,0.5,1765,eta,AUC,0.6208825117907897
0.3,0.1,0.5,1765,eta,F,0.6907841552142279
0.3,0.1,0.5,1765,eta,ACC,0.608094262295082
0.3,0.1,0.5,1765,eta_bench,AUC,0.6800079689629235
0.3,0.1,0.5,1765,eta_bench,F,0.46205240630545985
0.3,0.1,0.5,1765,eta_bench,ACC,0.5600239071038251
0.3,0.1,0.5,5055,eta0,AUC,0.9692107317820622
0.3,0.1,0.5,5055,eta0,F,0.963530606592189
0.3,0.1,0.5,5055,eta0,ACC,0.9358141046473838
0.3,0.1,0.5,5055,eta0_bench,AUC,0.9692107317820622
0.3,0.1,0.5,5055,eta0_bench,F,0.9477555639381366
0.3,0.1,0.5,5055,eta0_bench,ACC,0.9099772505687358
0.3,0.1,0.5,5055,eta1,AUC,0.48262250366684667
0.3,0.1,0.5,5055,eta1,F,0.25781990521327014
0.3,0.1,0.5,5055,eta1,ACC,0.5773659589780497
0.3,0.1,0.5,5055,eta1_bench,AUC,0.5547549852883455
0.3,0.1,0.5,5055,eta1_bench,F,0.21436716077537057
0.3,0.1,0.5,5055,eta1_bench,ACC,0.7520690896005757
0.3,0.1,0.5,5055,eta,AUC,0.6090708275980381
0.3,0.1,0.5,5055,eta,F,0.685160247778077
0.3,0.1,0.5,5055,eta,ACC,0.6007513661202186
0.3,0.1,0.5,5055,eta_bench,AUC,0.6763620188577849
0.3,0.1,0.5,5055,eta_bench,F,0.43885955649419217
0.3,0.1,0.5,5055,eta_bench,ACC,0.5462773224043715
0.3,0.1,0.5,87,eta0,AUC,0.9625011441851149
0.3,0.1,0.5,87,eta0,F,0.9591949778434269
0.3,0.1,0.5,87,eta0,ACC,0.9281767955801105
0.3,0.1,0.5,87,eta0_bench,AUC,0.9625011441851149
0.3,0.1,0.5,87,eta0_bench,F,0.9404061491744163
0.3,0.1,0.5,87,eta0_bench,ACC,0.8979525511862203
0.3,0.1,0.5,87,eta1,AUC,0.47290093316452564
0.3,0.1,0.5,87,eta1,F,0.2543279823733081
0.3,0.1,0.5,87,eta1,ACC,0.5737675422813961
0.3,0.1,0.5,87,eta1_bench,AUC,0.5505718657683261
0.3,0.1,0.5,87,eta1_bench,F,0.20198675496688742
0.3,0.1,0.5,87,eta1_bench,ACC,0.7398344728319539
0.3,0.1,0.5,87,eta,AUC,0.6127446571079993
0.3,0.1,0.5,87,eta,F,0.680035227965585
