a,b,c,model,accuracy,std
0.3,0.1,0.5,eta,0.638,0.005
0.3,0.1,0.5,eta0,0.899,0.003
0.3,0.1,0.5,eta0_bench,0.874,0.004
0.3,0.1,0.5,eta1,0.847,0.003
0.3,0.1,0.5,eta1_bench,0.149,0.004
0.3,0.1,0.5,eta_bench,0.411,0.001
0.3,0.1,0.5,gemma,0.462,0.004
0.3,0.2,0.5,eta,0.643,0.005
0.3,0.2,0.5,eta0,0.913,0.004
0.3,0.2,0.5,eta0_bench,0.905,0.005
0.3,0.2,0.5,eta1,0.847,0.003
0.3,0.2,0.5,eta1_bench,0.167,0.005
0.3,0.2,0.5,eta_bench,0.427,0.003
0.3,0.2,0.5,gemma,0.467,0.005
0.3,0.3,0.5,eta,0.647,0.005
0.3,0.3,0.5,eta0,0.919,0.004
0.3,0.3,0.5,eta0_bench,0.918,0.002
0.3,0.3,0.5,eta1,0.847,0.003
0.3,0.3,0.5,eta1_bench,0.181,0.006
0.3,0.3,0.5,eta_bench,0.434,0.003
0.3,0.3,0.5,gemma,0.469,0.005
0.3,0.4,0.5,eta,0.649,0.005
0.3,0.4,0.5,eta0,0.925,0.003
0.3,0.4,0.5,eta0_bench,0.924,0.002
0.3,0.4,0.5,eta1,0.847,0.003
0.3,0.4,0.5,eta1_bench,0.189,0.007
0.3,0.4,0.5,eta_bench,0.435,0.002
0.3,0.4,0.5,gemma,0.466,0.005
0.3,0.5,0.5,eta,0.653,0.005
0.3,0.5,0.5,eta0,0.931,0.003
0.3,0.5,0.5,eta0_bench,0.931,0.003
0.3,0.5,0.5,eta1,0.847,0.003
0.3,0.5,0.5,eta1_bench,0.198,0.007
0.3,0.5,0.5,eta_bench,0.437,0.002
0.3,0.5,0.5,gemma,0.466,0.004
0.3,0.6,0.5,eta,0.657,0.005
0.3,0.6,0.5,eta0,0.936,0.004
0.3,0.6,0.5,eta0_bench,0.934,0.004
0.3,0.6,0.5,eta1,0.847,0.003
0.3,0.6,0.5,eta1_bench,0.204,0.009
0.3,0.6,0.5,eta_bench,0.435,0.003
0.3,0.6,0.5,gemma,0.462,0.003
0.3,0.7,0.5,eta,0.664,0.004
0.3,0.7,0.5,eta0,0.942,0.004
0.3,0.7,0.5,eta0_bench,0.937,0.004
0.3,0.7,0.5,eta1,0.847,0.003
0.3,0.7,0.5,eta1_bench,0.211,0.01
0.3,0.7,0.5,eta_bench,0.434,0.003
0.3,0.7,0.5,gemma,0.459,0.004
0.3,0.8,0.5,eta,0.673,0.004
0.3,0.8,0.5,eta0,0.952,0.003
0.3,0.8,0.5,eta0_bench,0.94,0.005
0.3,0.8,0.5,eta1,0.847,0.003
0.3,0.8,0.5,eta1_bench,0.213,0.009
0.3,0.8,0.5,eta_bench,0.43,0.002
0.3,0.8,0.5,gemma,0.455,0.003
0.3,0.9,0.5,eta,0.682,0.004
0.3,0.9,0.5,eta0,0.961,0.003
0.3,0.9,0.5,eta0_bench,0.942,0.004
0.3,0.9,0.5,eta1,0.847,0.003
0.3,0.9,0.5,eta1_bench,0.215,0.008
0.3,0.9,0.5,eta_bench,0.427,0.002
0.3,0.9,0.5,gemma,0.45,0.003
0.5,0.1,0.5,eta,0.655,0.004
0.5,0.1,0.5,eta0,0.899,0.003
0.5,0.1,0.5,eta0_bench,0.874,0.004
0.5,0.1,0.5,eta1,0.901,0.001
0.5,0.1,0.5,eta1_bench,0.109,0.002
0.5,0.1,0.5,eta_bench,0.395,0.002
0.5,0.1,0.5,gemma,0.449,0.003
0.5,0.2,0.5,eta,0.662,0.005
0.5,0.2,0.5,eta0,0.913,0.004
0.5,0.2,0.5,eta0_bench,0.905,0.005
0.5,0.2,0.5,eta1,0.901,0.001
0.5,0.2,0.5,eta1_bench,0.125,0.004
0.5,0.2,0.5,eta_bench,0.412,0.003
0.5,0.2,0.5,gemma,0.455,0.004
0.5,0.3,0.5,eta,0.667,0.004
0.5,0.3,0.5,eta0,0.919,0.004
0.5,0.3,0.5,eta0_bench,0.918,0.002
0.5,0.3,0.5,eta1,0.901,0.001
0.5,0.3,0.5,eta1_bench,0.137,0.005
0.5,0.3,0.5,eta_bench,0.419,0.003
0.5,0.3,0.5,gemma,0.456,0.005
0.5,0.4,0.5,eta,0.671,0.004
0.5,0.4,0.5,eta0,0.925,0.003
0.5,0.4,0.5,eta0_bench,0.924,0.002
0.5,0.4,0.5,eta1,0.901,0.001
0.5,0.4,0.5,eta1_bench,0.145,0.007
0.5,0.4,0.5,eta_bench,0.42,0.003
0.5,0.4,0.5,gemma,0.455,0.005
0.5,0.5,0.5,eta,0.675,0.004
0.5,0.5,0.5,eta0,0.931,0.003
0.5,0.5,0.5,eta0_bench,0.931,0.003
0.5,0.5,0.5,eta1,0.901,0.001
0.5,0.5,0.5,eta1_bench,0.154,0.007
0.5,0.5,0.5,eta_bench,0.422,0.003
0.5,0.5,0.5,gemma,0.454,0.004
0.5,0.6,0.5,eta,0.681,0.004
0.5,0.6,0.5,eta0,0.936,0.004
0.5,0.6,0.5,eta0_bench,0.934,0.004
0.5,0.6,0.5,eta1,0.901,0.001
0.5,0.6,0.5,eta1_bench,0.16,0.007
0.5,0.6,0.5,eta_bench,0.421,0.003
0.5,0.6,0.5,gemma,0.452,0.003
0.5,0.7,0.5,eta,0.69,0.003
0.5,0.7,0.5,eta0,0.942,0.004
0.5,0.7,0.5,eta0_bench,0.937,0.004
0.5,0.7,0.5,eta1,0.901,0.001
0.5,0.7,0.5,eta1_bench,0.164,0.009
0.5,0.7,0.5,eta_bench,0.419,0.003
0.5,0.7,0.5,gemma,0.448,0.004
0.5,0.8,0.5,eta,0.698,0.003
0.5,0.8,0.5,eta0,0.952,0.003
0.5,0.8,0.5,eta0_bench,0.94,0.005
0.5,0.8,0.5,eta1,0.901,0.001
0.5,0.8,0.5,eta1_bench,0.167,0.008
0.5,0.8,0.5,eta_bench,0.416,0.002
0.5,0.8,0.5,gemma,0.444,0.004
0.5,0.9,0.5,eta,0.708,0.003
0.5,0.9,0.5,eta0,0.961,0.003
0.5,0.9,0.5,eta0_bench,0.942,0.004
0.5,0.9,0.5,eta1,0.901,0.001
0.5,0.9,0.5,eta1_bench,0.169,0.009
0.5,0.9,0.5,eta_bench,0.412,0.002
0.5,0.9,0.5,gemma,0.439,0.003
0.7,0.1,0.5,eta,0.672,0.004
0.7,0.1,0.5,eta0,0.899,0.003
0.7,0.1,0.5,eta0_bench,0.874,0.004
0.7,0.1,0.5,eta1,0.942,0.0
0.7,0.1,0.5,eta1_bench,0.073,0.002
0.7,0.1,0.5,eta_bench,0.38,0.002
0.7,0.1,0.5,gemma,0.437,0.002
0.7,0.2,0.5,eta,0.679,0.002
0.7,0.2,0.5,eta0,0.913,0.004
