a,b,c,model,accuracy,std
0.3,0.5,0.1,eta,0.649,0.003
0.3,0.5,0.1,eta0,0.931,0.005
0.3,0.5,0.1,eta0_bench,0.902,0.005
0.3,0.5,0.1,eta1,0.847,0.003
0.3,0.5,0.1,eta1_bench,0.221,0.01
0.3,0.5,0.1,eta_bench,0.544,0.002
0.3,0.5,0.1,gemma,0.548,0.003
0.3,0.5,0.2,eta,0.645,0.003
0.3,0.5,0.2,eta0,0.934,0.005
0.3,0.5,0.2,eta0_bench,0.921,0.005
0.3,0.5,0.2,eta1,0.847,0.003
0.3,0.5,0.2,eta1_bench,0.213,0.006
0.3,0.5,0.2,eta_bench,0.521,0.002
0.3,0.5,0.2,gemma,0.53,0.003
0.3,0.5,0.3,eta,0.644,0.003
0.3,0.5,0.3,eta0,0.935,0.003
0.3,0.5,0.3,eta0_bench,0.93,0.004
0.3,0.5,0.3,eta1,0.847,0.003
0.3,0.5,0.3,eta1_bench,0.205,0.006
0.3,0.5,0.3,eta_bench,0.495,0.003
0.3,0.5,0.3,gemma,0.51,0.004
0.3,0.5,0.4,eta,0.646,0.004
0.3,0.5,0.4,eta0,0.932,0.004
0.3,0.5,0.4,eta0_bench,0.931,0.004
0.3,0.5,0.4,eta1,0.847,0.003
0.3,0.5,0.4,eta1_bench,0.2,0.007
0.3,0.5,0.4,eta_bench,0.467,0.002
0.3,0.5,0.4,gemma,0.489,0.004
0.3,0.5,0.5,eta,0.653,0.005
0.3,0.5,0.5,eta0,0.931,0.003
0.3,0.5,0.5,eta0_bench,0.931,0.003
0.3,0.5,0.5,eta1,0.847,0.003
0.3,0.5,0.5,eta1_bench,0.198,0.007
0.3,0.5,0.5,eta_bench,0.437,0.002
0.3,0.5,0.5,gemma,0.466,0.004
0.3,0.5,0.6,eta,0.67,0.006
0.3,0.5,0.6,eta0,0.925,0.004
0.3,0.5,0.6,eta0_bench,0.925,0.003
0.3,0.5,0.6,eta1,0.847,0.003
0.3,0.5,0.6,eta1_bench,0.194,0.006
0.3,0.5,0.6,eta_bench,0.402,0.002
0.3,0.5,0.6,gemma,0.441,0.004
0.3,0.5,0.7,eta,0.698,0.004
0.3,0.5,0.7,eta0,0.918,0.004
0.3,0.5,0.7,eta0_bench,0.916,0.003
0.3,0.5,0.7,eta1,0.847,0.003
0.3,0.5,0.7,eta1_bench,0.19,0.005
0.3,0.5,0.7,eta_bench,0.362,0.002
0.3,0.5,0.7,gemma,0.413,0.004
0.3,0.5,0.8,eta,0.738,0.003
