a,b,c,model,f,std
0.3,0.1,0.5,eta,0.738,0.003
0.3,0.1,0.5,eta0,0.788,0.008
0.3,0.1,0.5,eta0_bench,0.708,0.013
0.3,0.1,0.5,eta1,0.917,0.002
0.3,0.1,0.5,eta1_bench,0.063,0.009
0.3,0.1,0.5,eta_bench,0.178,0.004
0.3,0.1,0.5,gemma,0.329,0.01
0.3,0.2,0.5,eta,0.742,0.004
0.3,0.2,0.5,eta0,0.81,0.011
0.3,0.2,0.5,eta0_bench,0.781,0.014
0.3,0.2,0.5,eta1,0.917,0.002
0.3,0.2,0.5,eta1_bench,0.105,0.012
0.3,0.2,0.5,eta_bench,0.219,0.008
0.3,0.2,0.5,gemma,0.34,0.012
0.3,0.3,0.5,eta,0.746,0.003
0.3,0.3,0.5,eta0,0.811,0.009
0.3,0.3,0.5,eta0_bench,0.802,0.006
0.3,0.3,0.5,eta1,0.917,0.002
0.3,0.3,0.5,eta1_bench,0.138,0.013
0.3,0.3,0.5,eta_bench,0.232,0.009
0.3,0.3,0.5,gemma,0.342,0.012
0.3,0.4,0.5,eta,0.747,0.004
0.3,0.4,0.5,eta0,0.806,0.008
0.3,0.4,0.5,eta0_bench,0.801,0.006
0.3,0.4,0.5,eta1,0.917,0.002
0.3,0.4,0.5,eta1_bench,0.158,0.015
0.3,0.4,0.5,eta_bench,0.233,0.007
0.3,0.4,0.5,gemma,0.335,0.013
0.3,0.5,0.5,eta,0.749,0.004
0.3,0.5,0.5,eta0,0.797,0.007
0.3,0.5,0.5,eta0_bench,0.798,0.007
0.3,0.5,0.5,eta1,0.917,0.002
0.3,0.5,0.5,eta1_bench,0.176,0.013
0.3,0.5,0.5,eta_bench,0.233,0.006
0.3,0.5,0.5,gemma,0.331,0.009
0.3,0.6,0.5,eta,0.75,0.003
0.3,0.6,0.5,eta0,0.777,0.011
0.3,0.6,0.5,eta0_bench,0.776,0.012
0.3,0.6,0.5,eta1,0.917,0.002
0.3,0.6,0.5,eta1_bench,0.19,0.016
