a,b,c,model,accuracy,std
0.3,0.5,0.1,eta,0.654,0.002
0.3,0.5,0.1,eta0,0.714,0.014
0.3,0.5,0.1,eta0_bench,0.654,0.011
0.3,0.5,0.1,eta1,0.917,0.002
0.3,0.5,0.1,eta1_bench,0.224,0.019
0.3,0.5,0.1,eta_bench,0.299,0.009
0.3,0.5,0.1,gemma,0.325,0.011
0.3,0.5,0.2,eta,0.675,0.003
0.3,0.5,0.2,eta0,0.739,0.013
0.3,0.5,0.2,eta0_bench,0.712,0.012
0.3,0.5,0.2,eta1,0.917,0.002
0.3,0.5,0.2,eta1_bench,0.209,0.013
0.3,0.5,0.2,eta_bench,0.275,0.007
0.3,0.5,0.2,gemma,0.323,0.01
0.3,0.5,0.3,eta,0.698,0.003
0.3,0.5,0.3,eta0,0.76,0.008
0.3,0.5,0.3,eta0_bench,0.753,0.01
0.3,0.5,0.3,eta1,0.917,0.002
0.3,0.5,0.3,eta1_bench,0.192,0.013
0.3,0.5,0.3,eta_bench,0.255,0.008
0.3,0.5,0.3,gemma,0.321,0.011
0.3,0.5,0.4,eta,0.723,0.003
0.3,0.5,0.4,eta0,0.776,0.011
0.3,0.5,0.4,eta0_bench,0.775,0.012
0.3,0.5,0.4,eta1,0.917,0.002
0.3,0.5,0.4,eta1_bench,0.18,0.014
0.3,0.5,0.4,eta_bench,0.243,0.007
0.3,0.5,0.4,gemma,0.325,0.012
0.3,0.5,0.5,eta,0.749,0.004
0.3,0.5,0.5,eta0,0.797,0.007
0.3,0.5,0.5,eta0_bench,0.798,0.007
0.3,0.5,0.5,eta1,0.917,0.002
0.3,0.5,0.5,eta1_bench,0.176,0.013
0.3,0.5,0.5,eta_bench,0.233,0.006
0.3,0.5,0.5,gemma,0.331,0.009
0.3,0.5,0.6,eta,0.777,0.004
0.3,0.5,0.6,eta0,0.813,0.009
0.3,0.5,0.6,eta0_bench,0.811,0.008
0.3,0.5,0.6,eta1,0.917,0.002
0.3,0.5,0.6,eta1_bench,0.169,0.01
0.3,0.5,0.6,eta_bench,0.225,0.007
0.3,0.5,0.6,gemma,0.339,0.01
0.3,0.5,0.7,eta,0.809,0.002
0.3,0.5,0.7,eta0,0.833,0.008
0.3,0.5,0.7,eta0_bench,0.824,0.007
0.3,0.5,0.7,eta1,0.917,0.002
0.3,0.5,0.7,eta1_bench,0.16,0.009
0.3,0.5,0.7,eta_bench,0.216,0.006
0.3,0.5,0.7,gemma,0.349,0.009
0.3,0.5,0.8,eta,0.843,0.002
0.3,0.5,0.8,eta0,0.857,0.007
0.3,0.5,0.8,eta0_bench,0.833,0.007
0.3,0.5,0.8,eta1,0.917,0.002
0.3,0.5,0.8,eta1_bench,0.154,0.012
0.3,0.5,0.8,eta_bench,0.209,0.005
0.3,0.5,0.8,gemma,0.364,0.009
0.3,0.5,0.9,eta,0.881,0.001
0.3,0.5,0.9,eta0,0.886,0.005
0.3,0.5,0.9,eta0_bench,0.841,0.007
0.3,0.5,0.9,eta1,0.917,0.002
0.3,0.5,0.9,eta1_bench,0.148,0.012
0.3,0.5,0.9,eta_bench,0.203,0.004
0.3,0.5,0.9,gemma,0.387,0.008
0.5,0.5,0.1,eta,0.669,0.003
0.5,0.5,0.1,eta0,0.714,0.014
0.5,0.5,0.1,eta0_bench,0.654,0.011
0.5,0.5,0.1,eta1,0.948,0.0
0.5,0.5,0.1,eta1_bench,0.176,0.018
0.5,0.5,0.1,eta_bench,0.275,0.01
0.5,0.5,0.1,gemma,0.31,0.011
0.5,0.5,0.2,eta,0.691,0.002
0.5,0.5,0.2,eta0,0.739,0.013
0.5,0.5,0.2,eta0_bench,0.712,0.012
0.5,0.5,0.2,eta1,0.948,0.0
0.5,0.5,0.2,eta1_bench,0.163,0.014
0.5,0.5,0.2,eta_bench,0.257,0.009
0.5,0.5,0.2,gemma,0.31,0.009
0.5,0.5,0.3,eta,0.716,0.002
0.5,0.5,0.3,eta0,0.76,0.008
0.5,0.5,0.3,eta0_bench,0.753,0.01
0.5,0.5,0.3,eta1,0.948,0.0
0.5,0.5,0.3,eta1_bench,0.151,0.018
0.5,0.5,0.3,eta_bench,0.244,0.009
0.5,0.5,0.3,gemma,0.313,0.012
0.5,0.5,0.4,eta,0.743,0.002
0.5,0.5,0.4,eta0,0.776,0.011
0.5,0.5,0.4,eta0_bench,0.775,0.012
0.5,0.5,0.4,eta1,0.948,0.0
0.5,0.5,0.4,eta1_bench,0.147,0.013
0.5,0.5,0.4,eta_bench,0.232,0.007
0.5,0.5,0.4,gemma,0.318,0.009
0.5,0.5,0.5,eta,0.771,0.002
0.5,0.5,0.5,eta0,0.797,0.007
0.5,0.5,0.5,eta0_bench,0.798,0.007
0.5,0.5,0.5,eta1,0.948,0.0
0.5,0.5,0.5,eta1_bench,0.14,0.013
0.5,0.5,0.5,eta_bench,0.224,0.008
0.5,0.5,0.5,gemma,0.326,0.01
0.5,0.5,0.6,eta,0.802,0.002
0.5,0.5,0.6,eta0,0.813,0.009
0.5,0.5,0.6,eta0_bench,0.811,0.008
0.5,0.5,0.6,eta1,0.948,0.0
0.5,0.5,0.6,eta1_bench,0.133,0.009
0.5,0.5,0.6,eta_bench,0.218,0.005
0.5,0.5,0.6,gemma,0.338,0.009
0.5,0.5,0.7,eta,0.835,0.002
0.5,0.5,0.7,eta0,0.833,0.008
0.5,0.5,0.7,eta0_bench,0.824,0.007
0.5,0.5,0.7,eta1,0.948,0.0
0.5,0.5,0.7,eta1_bench,0.125,0.008
0.5,0.5,0.7,eta_bench,0.209,0.007
0.5,0.5,0.7,gemma,0.35,0.009
0.5,0.5,0.8,eta,0.87,0.001
0.5,0.5,0.8,eta0,0.857,0.007
0.5,0.5,0.8,eta0_bench,0.833,0.007
0.5,0.5,0.8,eta1,0.948,0.0
0.5,0.5,0.8,eta1_bench,0.117,0.011
0.5,0.5,0.8,eta_bench,0.203,0.005
0.5,0.5,0.8,gemma,0.366,0.008
0.5,0.5,0.9,eta,0.909,0.001
0.5,0.5,0.9,eta0,0.886,0.005
0.5,0.5,0.9,eta0_bench,0.841,0.007
0.5,0.5,0.9,eta1,0.948,0.0
0.5,0.5,0.9,eta1_bench,0.113,0.01
0.5,0.5,0.9,eta_bench,0.197,0.004
0.5,0.5,0.9,gemma,0.393,0.009
0.7,0.5,0.1,eta,0.685,0.002
0.7,0.5,0.1,eta0,0.714,0.014
0.7,0.5,0.1,eta0_bench,0.654,0.011
0.7,0.5,0.1,eta1,0.97,0.0
0.7,0.5,0.1,eta1_bench,0.147,0.016
0.7,0.5,0.1,eta_bench,0.258,0.01
0.7,0.5,0.1,gemma,0.301,0.011
0.7,0.5,0.2,eta,0.708,0.001
0.7,0.5,0.2,eta0,0.739,0.013
0.7,0.5,0.2,eta0_bench,0.712,0.012
0.7,0.5,0.2,eta1,0.97,0.0
0.7,0.5,0.2,eta1_bench,0.14,0.012
0.7,0.5,0.2,eta_bench,0.244,0.008
0.7,0.5,0.2,gemma,0.305,0.01
0.7,0.5,0.3,eta,0.735,0.002
0.7,0.5,0.3,eta0,0.76,0.008
0.7,0.5,0.3,eta0_bench,0.753,0.01
0.7,0.5,0.3,eta1,0.97,0.0
0.7,0.5,0.3,eta1_bench,0.128,0.015
0.7,0.5,0.3,eta_bench,0.231,0.01
0.7,0.5,0.3,gemma,0.307,0.012
0.7,0.5,0.4,eta,0.762,0.002
0.7,0.5,0.4,eta0,0.776,0.011
0.7,0.5,0.4,eta0_bench,0.775,0.012
0.7,0.5,0.4,eta1,0.97,0.0
0.7,0.5,0.4,eta1_bench,0.122,0.013
0.7,0.5,0.4,eta_bench,0.223,0.008
0.7,0.5,0.4,gemma,0.314,0.01
0.7,0.5,0.5,eta,0.792,0.001
0.7,0.5,0.5,eta0,0.797,0.007
0.7,0.5,0.5,eta0_bench,0.798,0.007
0.7,0.5,0.5,eta1,0.97,0.0
0.7,0.5,0.5,eta1_bench,0.116,0.009
0.7,0.5,0.5,eta_bench,0.215,0.007
0.7,0.5,0.5,gemma,0.324,0.008
0.7,0.5,0.6,eta,0.821,0.002
0.7,0.5,0.6,eta0,0.813,0.009
0.7,0.5,0.6,eta0_bench,0.811,0.008
0.7,0.5,0.6,eta1,0.97,0.0
0.7,0.5,0.6,eta1_bench,0.112,0.008
0.7,0.5,0.6,eta_bench,0.21,0.005
0.7,0.5,0.6,gemma,0.337,0.01
0.7,0.5,0.7,eta,0.854,0.002
0.7,0.5,0.7,eta0,0.833,0.008
0.7,0.5,0.7,eta0_bench,0.824,0.007
0.7,0.5,0.7,eta1,0.97,0.0
0.7,0.5,0.7,eta1_bench,0.105,0.007
0.7,0.5,0.7,eta_bench,0.202,0.007
0.7,0.5,0.7,gemma,0.353,0.009
0.7,0.5,0.8,eta,0.89,0.001
0.7,0.5,0.8,eta0,0.857,0.007
0.7,0.5,0.8,eta0_bench,0.833,0.007
0.7,0.5,0.8,eta1,0.97,0.0
0.7,0.5,0.8,eta1_bench,0.1,0.008
0.7,0.5,0.8,eta_bench,0.197,0.005
0.7,0.5,0.8,gemma,0.374,0.01
0.7,0.5,0.9,eta,0.929,0.001
0.7,0.5,0.9,eta0,0.886,0.005
0.7,0.5,0.9,eta0_bench,0.841,0.007
0.7,0.5,0.9,eta1,0.97,0.0
0.7,0.5,0.9,eta1_bench,0.095,0.007
0.7,0.5,0.9,eta_bench,0.192,0.004
0.7,0.5,0.9,gemma,0.406,0.01
