a,b,c,seed,model,metric,value
0.3,0.1,0.5,266,eta0,AUC,0.8322110066896659
0.3,0.1,0.5,266,eta0,F,0.552739165985282
0.3,0.1,0.5,266,eta0,ACC,0.8106611284181378
0.3,0.1,0.5,266,eta0_bench,AUC,0.8322110066896659
0.3,0.1,0.5,266,eta0_bench,F,0.10647851186658114
0.3,0.1,0.5,266,eta0_bench,ACC,0.7589131187262028
0.3,0.1,0.5,266,eta1,AUC,0.8426516628271016
0.3,0.1,0.5,266,eta1,F,0.5613577023498695
0.3,0.1,0.5,266,eta1,ACC,0.7948300427437411
0.3,0.1,0.5,266,eta1_bench,AUC,0.5357493475235012
0.3,0.1,0.5,266,eta1_bench,F,0.008849557522123894
0.3,0.1,0.5,266,eta1_bench,ACC,0.7264400569916548
0.3,0.1,0.5,266,eta,AUC,0.8436970647162456
0.3,0.1,0.5,266,eta,F,0.5555791710945802
0.3,0.1,0.5,266,eta,ACC,0.804414928444486
0.3,0.1,0.5,266,eta_bench,AUC,0.8323463055693624
0.3,0.1,0.5,266,eta_bench,F,0.04155124653739612
0.3,0.1,0.5,266,eta_bench,ACC,0.7410906369843794
0.3,0.1,0.5,5167,eta0,AUC,0.8286192344977182
0.3,0.1,0.5,5167,eta0,F,0.5825892857142858
0.3,0.1,0.5,5167,eta0,ACC,0.8058151609553479
0.3,0.1,0.5,5167,eta0_bench,AUC,0.8286192344977182
0.3,0.1,0.5,5167,eta0_bench,F,0.10876519513755598
0.3,0.1,0.5,5167,eta0_bench,ACC,0.7589131187262028
0.3,0.1,0.5,5167,eta1,AUC,0.8291191712862085
0.3,0.1,0.5,5167,eta1,F,0.5512765036780615
0.3,0.1,0.5,5167,eta1,ACC,0.7889273356401384
0.3,0.1,0.5,5167,eta1_bench,AUC,0.5435819774218589
0.3,0.1,0.5,5167,eta1_bench,F,0.010294117647058823
0.3,0.1,0.5,5167,eta1_bench,ACC,0.7260329737431305
0.3,0.1,0.5,5167,eta,AUC,0.8427235832129807
0.3,0.1,0.5,5167,eta,F,0.5848942598187311
0.3,0.1,0.5,5167,eta,ACC,0.8072210270320831
0.3,0.1,0.5,5167,eta_bench,AUC,0.8274109261943788
0.3,0.1,0.5,5167,eta_bench,F,0.043553404770134814
0.3,0.1,0.5,5167,eta_bench,ACC,0.7411841736039659
0.3,0.1,0.5,7345,eta0,AUC,0.8316653990133819
0.3,0.1,0.5,7345,eta0,F,0.48968363136176063
0.3,0.1,0.5,7345,eta0,ACC,0.8073727933541017
0.3,0.1,0.5,7345,eta0_bench,AUC,0.8316653990133819
0.3,0.1,0.5,7345,eta0_bench,F,0.08447043534762833
0.3,0.1,0.5,7345,eta0_bench,ACC,0.7561439944617515
0.3,0.1,0.5,7345,eta1,AUC,0.8282817883139109
0.3,0.1,0.5,7345,eta1,F,0.544314381270903
0.3,0.1,0.5,7345,eta1,ACC,0.7781396295542439
0.3,0.1,0.5,7345,eta1_bench,AUC,0.5445279331491341
0.3,0.1,0.5,7345,eta1_bench,F,0.011790714812085481
0.3,0.1,0.5,7345,eta1_bench,ACC,0.7270506818644413
0.3,0.1,0.5,7345,eta,AUC,0.8437622401215286
0.3,0.1,0.5,7345,eta,F,0.5340807174887893
0.3,0.1,0.5,7345,eta,ACC,0.8056309044991115
0.3,0.1,0.5,7345,eta_bench,AUC,0.8279514986734888
0.3,0.1,0.5,7345,eta_bench,F,0.04364392102528577
0.3,0.1,0.5,7345,eta_bench,ACC,0.7417453933214854
0.3,0.1,0.5,6059,eta0,AUC,0.8296767547400952
0.3,0.1,0.5,6059,eta0,F,0.578405188859214
0.3,0.1,0.5,6059,eta0,ACC,0.8087573554863274
0.3,0.1,0.5,6059,eta0_bench,AUC,0.8296767547400952
0.3,0.1,0.5,6059,eta0_bench,F,0.09401159047005796
0.3,0.1,0.5,6059,eta0_bench,ACC,0.7564901349948079
0.3,0.1,0.5,6059,eta1,AUC,0.8374104274771436
0.3,0.1,0.5,6059,eta1,F,0.5548442168160478
0.3,0.1,0.5,6059,eta1,ACC,0.7877060858945655
0.3,0.1,0.5,6059,eta1_bench,AUC,0.49525337386716184
0.3,0.1,0.5,6059,eta1_bench,F,0.007374631268436578
0.3,0.1,0.5,6059,eta1_bench,ACC,0.7260329737431305
0.3,0.1,0.5,6059,eta,AUC,0.8439200593208948
0.3,0.1,0.5,6059,eta,F,0.5821197411003237
0.3,0.1,0.5,6059,eta,ACC,0.8067533439341502
