a,b,c,seed,model,metric,value
0.3,0.1,0.5,1541,eta0,AUC,0.8384871500449389
0.3,0.1,0.5,1541,eta0,F,0.9501506780512304
0.3,0.1,0.5,1541,eta0,ACC,0.907405247813411
0.3,0.1,0.5,1541,eta0_bench,AUC,0.8384871500449389
0.3,0.1,0.5,1541,eta0_bench,F,0.8619461461746687
0.3,0.1,0.5,1541,eta0_bench,ACC,0.7739941690962099
0.3,0.1,0.5,1541,eta1,AUC,0.825003975269149
0.3,0.1,0.5,1541,eta1,F,0.919740500463392
0.3,0.1,0.5,1541,eta1,ACC,0.8565275016567263
0.3,0.1,0.5,1541,eta1_bench,AUC,0.7535141898921117
0.3,0.1,0.5,1541,eta1_bench,F,0.3581178737754938
0.3,0.1,0.5,1541,eta1_bench,ACC,0.33780649436713056
0.3,0.1,0.5,1541,eta,AUC,0.8401837900215989
0.3,0.1,0.5,1541,eta,F,0.9394959240146586
0.3,0.1,0.5,1541,eta,ACC,0.8892615152966943
0.3,0.1,0.5,1541,eta_bench,AUC,0.844579484247745
0.3,0.1,0.5,1541,eta_bench,F,0.8076451627548009
0.3,0.1,0.5,1541,eta_bench,ACC,0.7100130039011704
0.3,0.1,0.5,82,eta0,AUC,0.8406964261235619
0.3,0.1,0.5,82,eta0,F,0.9470769618022781
0.3,0.1,0.5,82,eta0,ACC,0.9019241982507289
0.3,0.1,0.5,82,eta0_bench,AUC,0.8406964261235619
0.3,0.1,0.5,82,eta0_bench,F,0.866292693318185
0.3,0.1,0.5,82,eta0_bench,ACC,0.7804081632653062
0.3,0.1,0.5,82,eta1,AUC,0.8361006403041367
0.3,0.1,0.5,82,eta1,F,0.9226780257431244
0.3,0.1,0.5,82,eta1,ACC,0.8616633532140491
0.3,0.1,0.5,82,eta1_bench,AUC,0.7340400478487299
0.3,0.1,0.5,82,eta1_bench,F,0.32227332457293034
0.3,0.1,0.5,82,eta1_bench,ACC,0.3164347249834327
0.3,0.1,0.5,82,eta,AUC,0.8428983873253679
0.3,0.1,0.5,82,eta,F,0.9393746489421456
0.3,0.1,0.5,82,eta,ACC,0.8891930737115872
0.3,0.1,0.5,82,eta_bench,AUC,0.8450963229079138
0.3,0.1,0.5,82,eta_bench,F,0.8162069587164233
0.3,0.1,0.5,82,eta_bench,ACC,0.720895215933201
