a,b,c,seed,model,metric,value
0.3,0.1,0.5,2779,eta0,AUC,0.8413120584574098
0.3,0.1,0.5,2779,eta0,F,0.9303165498194179
0.3,0.1,0.5,2779,eta0,ACC,0.8752140003804452
0.3,0.1,0.5,2779,eta0_bench,AUC,0.8413120584574098
0.3,0.1,0.5,2779,eta0_bench,F,0.8240740740740742
0.3,0.1,0.5,2779,eta0_bench,ACC,0.732547080083698
0.3,0.1,0.5,2779,eta1,AUC,0.8313239174708195
0.3,0.1,0.5,2779,eta1,F,0.941710489897592
0.3,0.1,0.5,2779,eta1,ACC,0.8921438082556591
0.3,0.1,0.5,2779,eta1_bench,AUC,0.706072498886088
0.3,0.1,0.5,2779,eta1_bench,F,0.23431904225928576
0.3,0.1,0.5,2779,eta1_bench,ACC,0.2335347741472908
0.3,0.1,0.5,2779,eta,AUC,0.8391166214483828
0.3,0.1,0.5,2779,eta,F,0.9393653329460461
0.3,0.1,0.5,2779,eta,ACC,0.888814913448735
0.3,0.1,0.5,2779,eta_bench,AUC,0.8391429909573864
0.3,0.1,0.5,2779,eta_bench,F,0.7202793857341052
0.3,0.1,0.5,2779,eta_bench,ACC,0.6107190412782956
0.3,0.1,0.5,4386,eta0,AUC,0.8434152965711237
0.3,0.1,0.5,4386,eta0,F,0.9318518518518519
0.3,0.1,0.5,4386,eta0,ACC,0.877496671105193
0.3,0.1,0.5,4386,eta0_bench,AUC,0.8434152965711237
0.3,0.1,0.5,4386,eta0_bench,F,0.8159455027122493
0.3,0.1,0.5,4386,eta0_bench,ACC,0.7224652843827278
0.3,0.1,0.5,4386,eta1,AUC,0.8367797465367001
0.3,0.1,0.5,4386,eta1,F,0.9426976846991214
0.3,0.1,0.5,4386,eta1,ACC,0.893782648775991
0.3,0.1,0.5,4386,eta1_bench,AUC,0.6923188901163961
0.3,0.1,0.5,4386,eta1_bench,F,0.2208019791774044
0.3,0.1,0.5,4386,eta1_bench,ACC,0.22575028167571443
0.3,0.1,0.5,4386,eta,AUC,0.8439748279671174
0.3,0.1,0.5,4386,eta,F,0.9400470929179496
0.3,0.1,0.5,4386,eta,ACC,0.8898135818908123
