a,b,c,seed,model,metric,value
0.3,0.1,0.5,6849,eta0,AUC,0.836858915300043
0.3,0.1,0.5,6849,eta0,F,0.6121270452358036
0.3,0.1,0.5,6849,eta0,ACC,0.7856952938048392
0.3,0.1,0.5,6849,eta0_bench,AUC,0.836858915300043
0.3,0.1,0.5,6849,eta0_bench,F,0.11093990755007704
0.3,0.1,0.5,6849,eta0_bench,ACC,0.693166710981122
0.3,0.1,0.5,6849,eta1,AUC,0.8395372272297897
0.3,0.1,0.5,6849,eta1,F,0.4449857896873732
0.3,0.1,0.5,6849,eta1,ACC,0.8216568819308545
0.3,0.1,0.5,6849,eta1_bench,AUC,0.6158460175355984
0.3,0.1,0.5,6849,eta1_bench,F,0.01218769043266301
0.3,0.1,0.5,6849,eta1_bench,ACC,0.7885192433137639
0.3,0.1,0.5,6849,eta,AUC,0.846194792616789
0.3,0.1,0.5,6849,eta,F,0.517573315424222
0.3,0.1,0.5,6849,eta,ACC,0.8113950638893751
0.3,0.1,0.5,6849,eta_bench,AUC,0.8307069135878664
0.3,0.1,0.5,6849,eta_bench,F,0.05974202308214528
0.3,0.1,0.5,6849,eta_bench,ACC,0.7575704533520042
0.3,0.1,0.5,7876,eta0,AUC,0.8252199043767516
0.3,0.1,0.5,7876,eta0,F,0.641081552551243
0.3,0.1,0.5,7876,eta0,ACC,0.7811752193565541
0.3,0.1,0.5,7876,eta0_bench,AUC,0.8252199043767516
0.3,0.1,0.5,7876,eta0_bench,F,0.1378787878787879
0.3,0.1,0.5,7876,eta0_bench,ACC,0.6974208986971551
0.3,0.1,0.5,7876,eta1,AUC,0.8236540107502506
0.3,0.1,0.5,7876,eta1,F,0.42593352482560526
0.3,0.1,0.5,7876,eta1,ACC,0.8174820613176778
0.3,0.1,0.5,7876,eta1_bench,AUC,0.5022034472920675
0.3,0.1,0.5,7876,eta1_bench,F,0.0036764705882352945
0.3,0.1,0.5,7876,eta1_bench,ACC,0.787866927592955
0.3,0.1,0.5,7876,eta,AUC,0.8379029557605733
0.3,0.1,0.5,7876,eta,F,0.5147156450542155
0.3,0.1,0.5,7876,eta,ACC,0.8080693155960091
0.3,0.1,0.5,7876,eta_bench,AUC,0.8236891803522157
0.3,0.1,0.5,7876,eta_bench,F,0.059762308998302205
0.3,0.1,0.5,7876,eta_bench,ACC,0.7576579730439349
0.3,0.1,0.5,5324,eta0,AUC,0.8392401216788055
0.3,0.1,0.5,5324,eta0,F,0.6162517613903241
0.3,0.1,0.5,5324,eta0,ACC,0.7827705397500665
0.3,0.1,0.5,5324,eta0_bench,AUC,0.8392401216788055
0.3,0.1,0.5,5324,eta0_bench,F,0.14864864864864866
0.3,0.1,0.5,5324,eta0_bench,ACC,0.6984844456261633
0.3,0.1,0.5,5324,eta1,AUC,0.8271353068851827
0.3,0.1,0.5,5324,eta1,F,0.4254620123203285
0.3,0.1,0.5,5324,eta1,ACC,0.8174820613176778
0.3,0.1,0.5,5324,eta1_bench,AUC,0.562619171944996
0.3,0.1,0.5,5324,eta1_bench,F,0.010995723885155774
0.3,0.1,0.5,5324,eta1_bench,ACC,0.7887801696020874
0.3,0.1,0.5,5324,eta,AUC,0.8429629380100027
0.3,0.1,0.5,5324,eta,F,0.5041414819789568
0.3,0.1,0.5,5324,eta,ACC,0.8061438823735341
0.3,0.1,0.5,5324,eta_bench,AUC,0.8347451130913471
0.3,0.1,0.5,5324,eta_bench,F,0.08436558419819216
0.3,0.1,0.5,5324,eta_bench,ACC,0.7606336425695781
0.3,0.1,0.5,9386,eta0,AUC,0.8417412612053443
0.3,0.1,0.5,9386,eta0,F,0.5785970302099335
0.3,0.1,0.5,9386,eta0,ACC,0.7811752193565541
0.3,0.1,0.5,9386,eta0_bench,AUC,0.8417412612053443
0.3,0.1,0.5,9386,eta0_bench,F,0.11809815950920245
0.3,0.1,0.5,9386,eta0_bench,ACC,0.6942302579101303
0.3,0.1,0.5,9386,eta1,AUC,0.8270968462702768
0.3,0.1,0.5,9386,eta1,F,0.4399514759401536
0.3,0.1,0.5,9386,eta1,ACC,0.8193085453359426
0.3,0.1,0.5,9386,eta1_bench,AUC,0.556149343585156
0.3,0.1,0.5,9386,eta1_bench,F,0.024227740763173834
0.3,0.1,0.5,9386,eta1_bench,ACC,0.7898238747553816
0.3,0.1,0.5,9386,eta,AUC,0.845678266337162
0.3,0.1,0.5,9386,eta,F,0.4798517832329783
0.3,0.1,0.5,9386,eta,ACC,0.8034307719236828
0.3,0.1,0.5,9386,eta_bench,AUC,0.8406809032685696
0.3,0.1,0.5,9386,eta_bench,F,0.07774798927613939
0.3,0.1,0.5,9386,eta_bench,ACC,0.7591458078067566
0.3,0.1,0.5,9400,eta0,AUC,0.8396726568586568
0.3,0.1,0.5,9400,eta0,F,0.6409232134931203
0.3,0.1,0.5,9400,eta0,ACC,0.784897633608083
0.3,0.1,0.5,9400,eta0_bench,AUC,0.8396726568586568
0.3,0.1,0.5,9400,eta0_bench,F,0.10208816705336426
0.3,0.1,0.5,9400,eta0_bench,ACC,0.6913055038553576
0.3,0.1,0.5,9400,eta1,AUC,0.8157820996565406
0.3,0.1,0.5,9400,eta1,F,0.41272570937231295
0.3,0.1,0.5,9400,eta1,ACC,0.8217873450750163
0.3,0.1,0.5,9400,eta1_bench,AUC,0.5668371211273314
0.3,0.1,0.5,9400,eta1_bench,F,0.00977397678680513
0.3,0.1,0.5,9400,eta1_bench,ACC,0.7885192433137639
0.3,0.1,0.5,9400,eta,AUC,0.8390029715014288
0.3,0.1,0.5,9400,eta,F,0.5078071961982349
0.3,0.1,0.5,9400,eta,ACC,0.8096446700507615
0.3,0.1,0.5,9400,eta_bench,AUC,0.831897989420227
0.3,0.1,0.5,9400,eta_bench,F,0.051894844656879484
0.3,0.1,0.5,9400,eta_bench,ACC,0.7569578155084894
0.3,0.1,0.5,1826,eta0,AUC,0.8382570577909672
0.3,0.1,0.5,1826,eta0,F,0.598903836571998
0.3,0.1,0.5,1826,eta0,ACC,0.7859611805370912
0.3,0.1,0.5,1826,eta0_bench,AUC,0.8382570577909672
0.3,0.1,0.5,1826,eta0_bench,F,0.09634809634809635
0.3,0.1,0.5,1826,eta0_bench,ACC,0.6907737303908535
0.3,0.1,0.5,1826,eta1,AUC,0.8293302073739377
0.3,0.1,0.5,1826,eta1,F,0.4384116693679092
0.3,0.1,0.5,1826,eta1,ACC,0.8191780821917808
0.3,0.1,0.5,1826,eta1_bench,AUC,0.6348569570368476
0.3,0.1,0.5,1826,eta1_bench,F,0.019405700424499697
0.3,0.1,0.5,1826,eta1_bench,ACC,0.7890410958904109
0.3,0.1,0.5,1826,eta,AUC,0.8457246160057004
0.3,0.1,0.5,1826,eta,F,0.49784629335751535
0.3,0.1,0.5,1826,eta,ACC,0.8061438823735341
0.3,0.1,0.5,1826,eta_bench,AUC,0.8344338613384301
0.3,0.1,0.5,1826,eta_bench,F,0.0715008431703204
0.3,0.1,0.5,1826,eta_bench,ACC,0.7590582881148258
0.3,0.1,0.5,8499,eta0,AUC,0.8261557708533357
0.3,0.1,0.5,8499,eta0,F,0.5782038345105954
0.3,0.1,0.5,8499,eta0,ACC,0.7777186918372773
0.3,0.1,0.5,8499,eta0_bench,AUC,0.8261557708533357
0.3,0.1,0.5,8499,eta0_bench,F,0.1583271097834205
0.3,0.1,0.5,8499,eta0_bench,ACC,0.7003456527519277
0.3,0.1,0.5,8499,eta1,AUC,0.8369950619826385
0.3,0.1,0.5,8499,eta1,F,0.4192066805845512
0.3,0.1,0.5,8499,eta1,ACC,0.818525766470972
0.3,0.1,0.5,8499,eta1_bench,AUC,0.5789446854959527
0.3,0.1,0.5,8499,eta1_bench,F,0.015805471124620062
0.3,0.1,0.5,8499,eta1_bench,ACC,0.7887801696020874
0.3,0.1,0.5,8499,eta,AUC,0.8495790150994598
0.3,0.1,0.5,8499,eta,F,0.4841809233653621
0.3,0.1,0.5,8499,eta,ACC,0.8073691580605636
0.3,0.1,0.5,8499,eta_bench,AUC,0.8253898976328023
0.3,0.1,0.5,8499,eta_bench,F,0.09121171770972038
0.3,0.1,0.5,8499,eta_bench,ACC,0.7610712410292316
0.3,0.1,0.5,2258,eta0,AUC,0.8317198930623039
0.3,0.1,0.5,2258,eta0,F,0.6164705882352941
0.3,0.1,0.5,2258,eta0,ACC,0.7833023132145706
0.3,0.1,0.5,2258,eta0_bench,AUC,0.8317198930623039
0.3,0.1,0.5,2258,eta0_bench,F,0.12366412213740459
0.3,0.1,0.5,2258,eta0_bench,ACC,0.6947620313746344
0.3,0.1,0.5,2258,eta1,AUC,0.8325302729808279
0.3,0.1,0.5,2258,eta1,F,0.44932162809257786
0.3,0.1,0.5,2258,eta1,ACC,0.8199608610567515
0.3,0.1,0.5,2258,eta1_bench,AUC,0.5562481405615414
0.3,0.1,0.5,2258,eta1_bench,F,0.020618556701030927
0.3,0.1,0.5,2258,eta1_bench,ACC,0.7893020221787345
0.3,0.1,0.5,2258,eta,AUC,0.8472322301579465
0.3,0.1,0.5,2258,eta,F,0.517573315424222
0.3,0.1,0.5,2258,eta,ACC,0.8113950638893751
0.3,0.1,0.5,2258,eta_bench,AUC,0.8304521338448927
0.3,0.1,0.5,2258,eta_bench,F,0.07986577181208053
0.3,0.1,0.5,2258,eta_bench,ACC,0.7600210047260634
0.3,0.1,0.5,8570,eta0,AUC,0.8367690462566957
0.3,0.1,0.5,8570,eta0,F,0.6008624820316243
0.3,0.1,0.5,8570,eta0,ACC,0.7785163520340335
0.3,0.1,0.5,8570,eta0_bench,AUC,0.8367690462566957
0.3,0.1,0.5,8570,eta0_bench,F,0.1480927449513837
0.3,0.1,0.5,8570,eta0_bench,ACC,0.6971550119649029
0.3,0.1,0.5,8570,eta1,AUC,0.818353059491042
0.3,0.1,0.5,8570,eta1,F,0.43528441879637264
0.3,0.1,0.5,8570,eta1,ACC,0.8212654924983692
0.3,0.1,0.5,8570,eta1_bench,AUC,0.42984997511252276
