a,b,c,model,accuracy,std
0.3,0.1,0.5,eta,0.888,0.001
0.3,0.1,0.5,eta0,0.878,0.004
0.3,0.1,0.5,eta0_bench,0.724,0.007
0.3,0.1,0.5,eta1,0.892,0.001
0.3,0.1,0.5,eta1_bench,0.221,0.024
0.3,0.1,0.5,eta_bench,0.594,0.008
0.3,0.1,0.5,gemma,0.886,0.002
0.3,0.2,0.5,eta,0.886,0.001
0.3,0.2,0.5,eta0,0.872,0.002
0.3,0.2,0.5,eta0_bench,0.824,0.004
0.3,0.2,0.5,eta1,0.892,0.001
0.3,0.2,0.5,eta1_bench,0.217,0.019
0.3,0.2,0.5,eta_bench,0.734,0.005
0.3,0.2,0.5,gemma,0.885,0.001
0.3,0.3,0.5,eta,0.882,0.001
0.3,0.3,0.5,eta0,0.861,0.002
0.3,0.3,0.5,eta0_bench,0.848,0.005
0.3,0.3,0.5,eta1,0.892,0.001
0.3,0.3,0.5,eta1_bench,0.205,0.017
0.3,0.3,0.5,eta_bench,0.805,0.006
0.3,0.3,0.5,gemma,0.882,0.001
0.3,0.4,0.5,eta,0.879,0.001
0.3,0.4,0.5,eta0,0.847,0.003
0.3,0.4,0.5,eta0_bench,0.848,0.006
0.3,0.4,0.5,eta1,0.892,0.001
0.3,0.4,0.5,eta1_bench,0.19,0.015
0.3,0.4,0.5,eta_bench,0.837,0.004
0.3,0.4,0.5,gemma,0.879,0.001
0.3,0.5,0.5,eta,0.875,0.001
0.3,0.5,0.5,eta0,0.832,0.004
0.3,0.5,0.5,eta0_bench,0.832,0.006
0.3,0.5,0.5,eta1,0.892,0.001
0.3,0.5,0.5,eta1_bench,0.178,0.015
0.3,0.5,0.5,eta_bench,0.855,0.004
0.3,0.5,0.5,gemma,0.875,0.001
0.3,0.6,0.5,eta,0.871,0.001
0.3,0.6,0.5,eta0,0.814,0.005
0.3,0.6,0.5,eta0_bench,0.806,0.003
0.3,0.6,0.5,eta1,0.892,0.001
0.3,0.6,0.5,eta1_bench,0.169,0.017
0.3,0.6,0.5,eta_bench,0.864,0.002
0.3,0.6,0.5,gemma,0.871,0.001
0.3,0.7,0.5,eta,0.867,0.001
0.3,0.7,0.5,eta0,0.792,0.007
0.3,0.7,0.5,eta0_bench,0.761,0.004
0.3,0.7,0.5,eta1,0.892,0.001
0.3,0.7,0.5,eta1_bench,0.161,0.015
0.3,0.7,0.5,eta_bench,0.866,0.002
0.3,0.7,0.5,gemma,0.867,0.001
0.3,0.8,0.5,eta,0.863,0.001
0.3,0.8,0.5,eta0,0.774,0.009
0.3,0.8,0.5,eta0_bench,0.689,0.005
0.3,0.8,0.5,eta1,0.892,0.001
0.3,0.8,0.5,eta1_bench,0.153,0.015
0.3,0.8,0.5,eta_bench,0.865,0.002
0.3,0.8,0.5,gemma,0.863,0.001
0.3,0.9,0.5,eta,0.858,0.002
0.3,0.9,0.5,eta0,0.78,0.016
0.3,0.9,0.5,eta0_bench,0.55,0.004
0.3,0.9,0.5,eta1,0.892,0.001
0.3,0.9,0.5,eta1_bench,0.149,0.015
0.3,0.9,0.5,eta_bench,0.86,0.002
0.3,0.9,0.5,gemma,0.858,0.002
0.5,0.1,0.5,eta,0.904,0.001
0.5,0.1,0.5,eta0,0.878,0.004
0.5,0.1,0.5,eta0_bench,0.724,0.007
0.5,0.1,0.5,eta1,0.917,0.001
0.5,0.1,0.5,eta1_bench,0.176,0.014
0.5,0.1,0.5,eta_bench,0.529,0.006
0.5,0.1,0.5,gemma,0.9,0.002
0.5,0.2,0.5,eta,0.902,0.001
0.5,0.2,0.5,eta0,0.872,0.002
0.5,0.2,0.5,eta0_bench,0.824,0.004
0.5,0.2,0.5,eta1,0.917,0.001
0.5,0.2,0.5,eta1_bench,0.17,0.006
0.5,0.2,0.5,eta_bench,0.679,0.005
0.5,0.2,0.5,gemma,0.9,0.001
0.5,0.3,0.5,eta,0.899,0.001
0.5,0.3,0.5,eta0,0.861,0.002
0.5,0.3,0.5,eta0_bench,0.848,0.005
0.5,0.3,0.5,eta1,0.917,0.001
0.5,0.3,0.5,eta1_bench,0.157,0.007
0.5,0.3,0.5,eta_bench,0.761,0.006
0.5,0.3,0.5,gemma,0.897,0.001
0.5,0.4,0.5,eta,0.895,0.001
0.5,0.4,0.5,eta0,0.847,0.003
0.5,0.4,0.5,eta0_bench,0.848,0.006
0.5,0.4,0.5,eta1,0.917,0.001
0.5,0.4,0.5,eta1_bench,0.141,0.008
0.5,0.4,0.5,eta_bench,0.81,0.006
0.5,0.4,0.5,gemma,0.895,0.001
0.5,0.5,0.5,eta,0.892,0.001
0.5,0.5,0.5,eta0,0.832,0.004
0.5,0.5,0.5,eta0_bench,0.832,0.006
0.5,0.5,0.5,eta1,0.917,0.001
0.5,0.5,0.5,eta1_bench,0.13,0.006
0.5,0.5,0.5,eta_bench,0.837,0.004
0.5,0.5,0.5,gemma,0.891,0.001
0.5,0.6,0.5,eta,0.889,0.001
0.5,0.6,0.5,eta0,0.814,0.005
0.5,0.6,0.5,eta0_bench,0.806,0.003
0.5,0.6,0.5,eta1,0.917,0.001
0.5,0.6,0.5,eta1_bench,0.122,0.008
0.5,0.6,0.5,eta_bench,0.855,0.003
0.5,0.6,0.5,gemma,0.888,0.001
0.5,0.7,0.5,eta,0.885,0.001
0.5,0.7,0.5,eta0,0.792,0.007
0.5,0.7,0.5,eta0_bench,0.761,0.004
0.5,0.7,0.5,eta1,0.917,0.001
0.5,0.7,0.5,eta1_bench,0.114,0.006
0.5,0.7,0.5,eta_bench,0.865,0.004
