a,b,c,model,accuracy,std
0.3,0.5,0.1,eta,0.853,0.002
0.3,0.5,0.1,eta0,0.78,0.007
0.3,0.5,0.1,eta0_bench,0.695,0.005
0.3,0.5,0.1,eta1,0.892,0.001
0.3,0.5,0.1,eta1_bench,0.12,0.003
0.3,0.5,0.1,eta_bench,0.852,0.001
0.3,0.5,0.1,gemma,0.851,0.001
0.3,0.5,0.2,eta,0.858,0.001
0.3,0.5,0.2,eta0,0.793,0.005
0.3,0.5,0.2,eta0_bench,0.739,0.004
0.3,0.5,0.2,eta1,0.892,0.001
0.3,0.5,0.2,eta1_bench,0.129,0.008
0.3,0.5,0.2,eta_bench,0.857,0.002
0.3,0.5,0.2,gemma,0.857,0.001
0.3,0.5,0.3,eta,0.863,0.001
0.3,0.5,0.3,eta0,0.804,0.005
0.3,0.5,0.3,eta0_bench,0.778,0.003
0.3,0.5,0.3,eta1,0.892,0.001
0.3,0.5,0.3,eta1_bench,0.145,0.01
0.3,0.5,0.3,eta_bench,0.859,0.003
0.3,0.5,0.3,gemma,0.863,0.001
0.3,0.5,0.4,eta,0.869,0.001
0.3,0.5,0.4,eta0,0.817,0.006
0.3,0.5,0.4,eta0_bench,0.809,0.003
0.3,0.5,0.4,eta1,0.892,0.001
0.3,0.5,0.4,eta1_bench,0.161,0.013
0.3,0.5,0.4,eta_bench,0.858,0.003
0.3,0.5,0.4,gemma,0.869,0.001
0.3,0.5,0.5,eta,0.875,0.001
0.3,0.5,0.5,eta0,0.832,0.004
0.3,0.5,0.5,eta0_bench,0.832,0.006
0.3,0.5,0.5,eta1,0.892,0.001
0.3,0.5,0.5,eta1_bench,0.178,0.015
0.3,0.5,0.5,eta_bench,0.855,0.004
0.3,0.5,0.5,gemma,0.875,0.001
0.3,0.5,0.6,eta,0.882,0.001
0.3,0.5,0.6,eta0,0.852,0.005
0.3,0.5,0.6,eta0_bench,0.853,0.007
0.3,0.5,0.6,eta1,0.892,0.001
0.3,0.5,0.6,eta1_bench,0.19,0.015
0.3,0.5,0.6,eta_bench,0.851,0.003
0.3,0.5,0.6,gemma,0.882,0.001
0.3,0.5,0.7,eta,0.889,0.001
0.3,0.5,0.7,eta0,0.877,0.005
0.3,0.5,0.7,eta0_bench,0.868,0.007
0.3,0.5,0.7,eta1,0.892,0.001
0.3,0.5,0.7,eta1_bench,0.202,0.016
0.3,0.5,0.7,eta_bench,0.844,0.003
0.3,0.5,0.7,gemma,0.888,0.001
0.3,0.5,0.8,eta,0.896,0.001
0.3,0.5,0.8,eta0,0.906,0.004
0.3,0.5,0.8,eta0_bench,0.877,0.009
0.3,0.5,0.8,eta1,0.892,0.001
0.3,0.5,0.8,eta1_bench,0.21,0.016
0.3,0.5,0.8,eta_bench,0.837,0.004
0.3,0.5,0.8,gemma,0.895,0.001
0.3,0.5,0.9,eta,0.903,0.001
0.3,0.5,0.9,eta0,0.946,0.003
0.3,0.5,0.9,eta0_bench,0.885,0.008
0.3,0.5,0.9,eta1,0.892,0.001
0.3,0.5,0.9,eta1_bench,0.216,0.018
0.3,0.5,0.9,eta_bench,0.829,0.003
0.3,0.5,0.9,gemma,0.903,0.001
0.5,0.5,0.1,eta,0.867,0.001
0.5,0.5,0.1,eta0,0.78,0.007
0.5,0.5,0.1,eta0_bench,0.695,0.005
0.5,0.5,0.1,eta1,0.917,0.001
0.5,0.5,0.1,eta1_bench,0.087,0.002
0.5,0.5,0.1,eta_bench,0.855,0.003
0.5,0.5,0.1,gemma,0.864,0.001
0.5,0.5,0.2,eta,0.873,0.001
0.5,0.5,0.2,eta0,0.793,0.005
0.5,0.5,0.2,eta0_bench,0.739,0.004
0.5,0.5,0.2,eta1,0.917,0.001
0.5,0.5,0.2,eta1_bench,0.092,0.003
0.5,0.5,0.2,eta_bench,0.854,0.004
0.5,0.5,0.2,gemma,0.87,0.001
0.5,0.5,0.3,eta,0.879,0.001
0.5,0.5,0.3,eta0,0.804,0.005
0.5,0.5,0.3,eta0_bench,0.778,0.003
0.5,0.5,0.3,eta1,0.917,0.001
0.5,0.5,0.3,eta1_bench,0.103,0.005
0.5,0.5,0.3,eta_bench,0.849,0.004
0.5,0.5,0.3,gemma,0.877,0.001
0.5,0.5,0.4,eta,0.886,0.001
