a,b,c,model,f,std
0.3,0.1,0.5,eta,0.939,0.0
0.3,0.1,0.5,eta0,0.933,0.003
0.3,0.1,0.5,eta0_bench,0.817,0.006
0.3,0.1,0.5,eta1,0.942,0.001
0.3,0.1,0.5,eta1_bench,0.212,0.042
0.3,0.1,0.5,eta_bench,0.704,0.008
0.3,0.1,0.5,gemma,0.937,0.001
0.3,0.2,0.5,eta,0.938,0.0
0.3,0.2,0.5,eta0,0.929,0.001
0.3,0.2,0.5,eta0_bench,0.893,0.003
0.3,0.2,0.5,eta1,0.942,0.001
0.3,0.2,0.5,eta1_bench,0.205,0.036
0.3,0.2,0.5,eta_bench,0.827,0.004
0.3,0.2,0.5,gemma,0.937,0.001
0.3,0.3,0.5,eta,0.935,0.0
0.3,0.3,0.5,eta0,0.921,0.002
0.3,0.3,0.5,eta0_bench,0.91,0.003
0.3,0.3,0.5,eta1,0.942,0.001
0.3,0.3,0.5,eta1_bench,0.182,0.033
0.3,0.3,0.5,eta_bench,0.88,0.004
0.3,0.3,0.5,gemma,0.935,0.0
0.3,0.4,0.5,eta,0.933,0.001
0.3,0.4,0.5,eta0,0.912,0.002
0.3,0.4,0.5,eta0_bench,0.91,0.004
0.3,0.4,0.5,eta1,0.942,0.001
0.3,0.4,0.5,eta1_bench,0.153,0.03
0.3,0.4,0.5,eta_bench,0.903,0.003
0.3,0.4,0.5,gemma,0.933,0.001
0.3,0.5,0.5,eta,0.931,0.001
0.3,0.5,0.5,eta0,0.9,0.003
0.3,0.5,0.5,eta0_bench,0.9,0.004
0.3,0.5,0.5,eta1,0.942,0.001
0.3,0.5,0.5,eta1_bench,0.129,0.03
0.3,0.5,0.5,eta_bench,0.915,0.002
0.3,0.5,0.5,gemma,0.931,0.001
0.3,0.6,0.5,eta,0.929,0.001
0.3,0.6,0.5,eta0,0.884,0.004
0.3,0.6,0.5,eta0_bench,0.882,0.003
0.3,0.6,0.5,eta1,0.942,0.001
0.3,0.6,0.5,eta1_bench,0.112,0.034
0.3,0.6,0.5,eta_bench,0.921,0.001
0.3,0.6,0.5,gemma,0.929,0.0
0.3,0.7,0.5,eta,0.926,0.001
0.3,0.7,0.5,eta0,0.859,0.006
0.3,0.7,0.5,eta0_bench,0.849,0.003
0.3,0.7,0.5,eta1,0.942,0.001
0.3,0.7,0.5,eta1_bench,0.096,0.032
0.3,0.7,0.5,eta_bench,0.923,0.001
0.3,0.7,0.5,gemma,0.926,0.001
0.3,0.8,0.5,eta,0.923,0.001
0.3,0.8,0.5,eta0,0.819,0.008
0.3,0.8,0.5,eta0_bench,0.791,0.004
0.3,0.8,0.5,eta1,0.942,0.001
0.3,0.8,0.5,eta1_bench,0.08,0.032
0.3,0.8,0.5,eta_bench,0.922,0.001
0.3,0.8,0.5,gemma,0.923,0.001
0.3,0.9,0.5,eta,0.92,0.001
0.3,0.9,0.5,eta0,0.723,0.034
0.3,0.9,0.5,eta0_bench,0.652,0.004
