a,b,c,model,f,std
0.3,0.5,0.1,eta,0.916,0.001
0.3,0.5,0.1,eta0,0.849,0.003
0.3,0.5,0.1,eta0_bench,0.815,0.002
0.3,0.5,0.1,eta1,0.942,0.001
0.3,0.5,0.1,eta1_bench,0.008,0.007
0.3,0.5,0.1,eta_bench,0.915,0.001
0.3,0.5,0.1,gemma,0.915,0.001
0.3,0.5,0.2,eta,0.92,0.001
0.3,0.5,0.2,eta0,0.862,0.004
0.3,0.5,0.2,eta0_bench,0.841,0.002
0.3,0.5,0.2,eta1,0.942,0.001
0.3,0.5,0.2,eta1_bench,0.028,0.017
0.3,0.5,0.2,eta_bench,0.917,0.001
0.3,0.5,0.2,gemma,0.919,0.001
0.3,0.5,0.3,eta,0.924,0.001
0.3,0.5,0.3,eta0,0.874,0.004
0.3,0.5,0.3,eta0_bench,0.865,0.002
0.3,0.5,0.3,eta1,0.942,0.001
0.3,0.5,0.3,eta1_bench,0.062,0.021
0.3,0.5,0.3,eta_bench,0.918,0.002
0.3,0.5,0.3,gemma,0.923,0.001
0.3,0.5,0.4,eta,0.927,0.001
0.3,0.5,0.4,eta0,0.887,0.004
0.3,0.5,0.4,eta0_bench,0.885,0.002
0.3,0.5,0.4,eta1,0.942,0.001
0.3,0.5,0.4,eta1_bench,0.096,0.028
0.3,0.5,0.4,eta_bench,0.917,0.002
0.3,0.5,0.4,gemma,0.927,0.001
0.3,0.5,0.5,eta,0.931,0.001
0.3,0.5,0.5,eta0,0.9,0.003
0.3,0.5,0.5,eta0_bench,0.9,0.004
0.3,0.5,0.5,eta1,0.942,0.001
0.3,0.5,0.5,eta1_bench,0.129,0.03
0.3,0.5,0.5,eta_bench,0.915,0.002
0.3,0.5,0.5,gemma,0.931,0.001
0.3,0.5,0.6,eta,0.935,0.001
0.3,0.5,0.6,eta0,0.915,0.004
0.3,0.5,0.6,eta0_bench,0.914,0.004
0.3,0.5,0.6,eta1,0.942,0.001
0.3,0.5,0.6,eta1_bench,0.154,0.03
0.3,0.5,0.6,eta_bench,0.912,0.002
0.3,0.5,0.6,gemma,0.935,0.001
0.3,0.5,0.7,eta,0.939,0.001
0.3,0.5,0.7,eta0,0.932,0.003
0.3,0.5,0.7,eta0_bench,0.924,0.004
0.3,0.5,0.7,eta1,0.942,0.001
0.3,0.5,0.7,eta1_bench,0.176,0.03
0.3,0.5,0.7,eta_bench,0.908,0.002
0.3,0.5,0.7,gemma,0.939,0.001
0.3,0.5,0.8,eta,0.944,0.001
0.3,0.5,0.8,eta0,0.95,0.002
0.3,0.5,0.8,eta0_bench,0.931,0.005
0.3,0.5,0.8,eta1,0.942,0.001
0.3,0.5,0.8,eta1_bench,0.191,0.031
0.3,0.5,0.8,eta_bench,0.904,0.002
0.3,0.5,0.8,gemma,0.943,0.001
0.3,0.5,0.9,eta,0.948,0.0
0.3,0.5,0.9,eta0,0.972,0.002
0.3,0.5,0.9,eta0_bench,0.937,0.005
0.3,0.5,0.9,eta1,0.942,0.001
0.3,0.5,0.9,eta1_bench,0.203,0.034
0.3,0.5,0.9,eta_bench,0.9,0.002
0.3,0.5,0.9,gemma,0.948,0.001
0.5,0.5,0.1,eta,0.926,0.001
0.5,0.5,0.1,eta0,0.849,0.003
0.5,0.5,0.1,eta0_bench,0.815,0.002
0.5,0.5,0.1,eta1,0.956,0.0
0.5,0.5,0.1,eta1_bench,0.003,0.004
0.5,0.5,0.1,eta_bench,0.916,0.002
0.5,0.5,0.1,gemma,0.924,0.001
0.5,0.5,0.2,eta,0.93,0.001
0.5,0.5,0.2,eta0,0.862,0.004
0.5,0.5,0.2,eta0_bench,0.841,0.002
0.5,0.5,0.2,eta1,0.956,0.0
0.5,0.5,0.2,eta1_bench,0.013,0.007
0.5,0.5,0.2,eta_bench,0.914,0.003
0.5,0.5,0.2,gemma,0.928,0.001
0.5,0.5,0.3,eta,0.933,0.001
0.5,0.5,0.3,eta0,0.874,0.004
0.5,0.5,0.3,eta0_bench,0.865,0.002
0.5,0.5,0.3,eta1,0.956,0.0
0.5,0.5,0.3,eta1_bench,0.035,0.01
0.5,0.5,0.3,eta_bench,0.911,0.003
0.5,0.5,0.3,gemma,0.932,0.001
0.5,0.5,0.4,eta,0.938,0.001
0.5,0.5,0.4,eta0,0.887,0.004
0.5,0.5,0.4,eta0_bench,0.885,0.002
0.5,0.5,0.4,eta1,0.956,0.0
0.5,0.5,0.4,eta1_bench,0.063,0.012
0.5,0.5,0.4,eta_bench,0.908,0.003
0.5,0.5,0.4,gemma,0.937,0.001
0.5,0.5,0.5,eta,0.942,0.001
0.5,0.5,0.5,eta0,0.9,0.003
