a,b,c,seed,model,metric,value
0.3,0.1,0.5,8896,eta0,AUC,0.9287381570576199
0.3,0.1,0.5,8896,eta0,F,0.7113985448666128
0.3,0.1,0.5,8896,eta0,ACC,0.9074650077760498
0.3,0.1,0.5,8896,eta0_bench,AUC,0.9287381570576199
0.3,0.1,0.5,8896,eta0_bench,F,0.6443071491615181
0.3,0.1,0.5,8896,eta0_bench,ACC,0.8955417314670814
0.3,0.1,0.5,8896,eta1,AUC,0.8712359323809646
0.3,0.1,0.5,8896,eta1,F,0.7511716134791342
0.3,0.1,0.5,8896,eta1,ACC,0.7115882048629074
0.3,0.1,0.5,8896,eta1_bench,AUC,0.7939190422211058
0.3,0.1,0.5,8896,eta1_bench,F,0.4481887110362259
0.3,0.1,0.5,8896,eta1_bench,ACC,0.661148473874806
0.3,0.1,0.5,8896,eta,AUC,0.8976559580213871
0.3,0.1,0.5,8896,eta,F,0.7489406779661018
0.3,0.1,0.5,8896,eta,ACC,0.8158984981874676
0.3,0.1,0.5,8896,eta_bench,AUC,0.9020770039904998
0.3,0.1,0.5,8896,eta_bench,F,0.5294947784363533
0.3,0.1,0.5,8896,eta_bench,ACC,0.784179181771103
0.3,0.1,0.5,8772,eta0,AUC,0.9376437918049418
0.3,0.1,0.5,8772,eta0,F,0.7020408163265306
0.3,0.1,0.5,8772,eta0,ACC,0.9053913945049248
0.3,0.1,0.5,8772,eta0_bench,AUC,0.9376437918049418
0.3,0.1,0.5,8772,eta0_bench,F,0.6267857142857143
0.3,0.1,0.5,8772,eta0_bench,ACC,0.8916537065837221
0.3,0.1,0.5,8772,eta1,AUC,0.8732540265272035
0.3,0.1,0.5,8772,eta1,F,0.7530671425384786
0.3,0.1,0.5,8772,eta1,ACC,0.7136575271598552
0.3,0.1,0.5,8772,eta1_bench,AUC,0.8198349134581117
0.3,0.1,0.5,8772,eta1_bench,F,0.4304551254785197
0.3,0.1,0.5,8772,eta1_bench,ACC,0.6536471805483705
0.3,0.1,0.5,8772,eta,AUC,0.8979023502959721
0.3,0.1,0.5,8772,eta,F,0.7478291688818005
0.3,0.1,0.5,8772,eta,ACC,0.8157690315898498
0.3,0.1,0.5,8772,eta_bench,AUC,0.9107111318070575
0.3,0.1,0.5,8772,eta_bench,F,0.5102974828375286
0.3,0.1,0.5,8772,eta_bench,ACC,0.7783531848783014
0.3,0.1,0.5,2512,eta0,AUC,0.9269765462455078
0.3,0.1,0.5,2512,eta0,F,0.7125506072874493
0.3,0.1,0.5,2512,eta0,ACC,0.907983411093831
0.3,0.1,0.5,2512,eta0_bench,AUC,0.9269765462455078
0.3,0.1,0.5,2512,eta0_bench,F,0.647985989492119
0.3,0.1,0.5,2512,eta0_bench,ACC,0.895800933125972
0.3,0.1,0.5,2512,eta1,AUC,0.8684543438403044
0.3,0.1,0.5,2512,eta1,F,0.7440715883668904
0.3,0.1,0.5,2512,eta1,ACC,0.7040869115364718
0.3,0.1,0.5,2512,eta1_bench,AUC,0.7616061882495395
0.3,0.1,0.5,2512,eta1_bench,F,0.39738562091503266
0.3,0.1,0.5,2512,eta1_bench,ACC,0.6422659079151578
0.3,0.1,0.5,2512,eta,AUC,0.8955230448358591
0.3,0.1,0.5,2512,eta,F,0.7409627931581733
0.3,0.1,0.5,2512,eta,ACC,0.8098135680994304
0.3,0.1,0.5,2512,eta_bench,AUC,0.9005984242950317
0.3,0.1,0.5,2512,eta_bench,F,0.49495240842226707
0.3,0.1,0.5,2512,eta_bench,ACC,0.7733039875712067
0.3,0.1,0.5,9887,eta0,AUC,0.9312249600220094
0.3,0.1,0.5,9887,eta0,F,0.7213375796178343
0.3,0.1,0.5,9887,eta0,ACC,0.909279419388284
0.3,0.1,0.5,9887,eta0_bench,AUC,0.9312249600220094
0.3,0.1,0.5,9887,eta0_bench,F,0.6373239436619719
0.3,0.1,0.5,9887,eta0_bench,ACC,0.8932089165370658
0.3,0.1,0.5,9887,eta1,AUC,0.8790463861086422
0.3,0.1,0.5,9887,eta1,F,0.7564276048714479
0.3,0.1,0.5,9887,eta1,ACC,0.7206414899120538
0.3,0.1,0.5,9887,eta1_bench,AUC,0.7182627859145617
0.3,0.1,0.5,9887,eta1_bench,F,0.2990309183202584
0.3,0.1,0.5,9887,eta1_bench,ACC,0.607087428867046
0.3,0.1,0.5,9887,eta,AUC,0.900223184684196
0.3,0.1,0.5,9887,eta,F,0.7535460992907802
0.3,0.1,0.5,9887,eta,ACC,0.8200414293112377
0.3,0.1,0.5,9887,eta_bench,AUC,0.8678446779268689
0.3,0.1,0.5,9887,eta_bench,F,0.43759353486979946
0.3,0.1,0.5,9887,eta_bench,ACC,0.7567322630761264
0.3,0.1,0.5,4387,eta0,AUC,0.9292544319686367
0.3,0.1,0.5,4387,eta0,F,0.6759639048400329
0.3,0.1,0.5,4387,eta0,ACC,0.8976153447382064
0.3,0.1,0.5,4387,eta0_bench,AUC,0.9292544319686367
0.3,0.1,0.5,4387,eta0_bench,F,0.6048604860486049
0.3,0.1,0.5,4387,eta0_bench,ACC,0.8862104717470192
0.3,0.1,0.5,4387,eta1,AUC,0.8637354385919714
0.3,0.1,0.5,4387,eta1,F,0.7435043304463691
0.3,0.1,0.5,4387,eta1,ACC,0.7012415933781686
0.3,0.1,0.5,4387,eta1_bench,AUC,0.7390335905329914
0.3,0.1,0.5,4387,eta1_bench,F,0.33708877872915727
0.3,0.1,0.5,4387,eta1_bench,ACC,0.6195033626487325
0.3,0.1,0.5,4387,eta,AUC,0.8891210652585385
0.3,0.1,0.5,4387,eta,F,0.7337799717912553
0.3,0.1,0.5,4387,eta,ACC,0.8045054375970999
0.3,0.1,0.5,4387,eta_bench,AUC,0.8732918309281831
0.3,0.1,0.5,4387,eta_bench,F,0.4398809523809524
0.3,0.1,0.5,4387,eta_bench,ACC,0.756343863283273
0.3,0.1,0.5,1092,eta0,AUC,0.9260424368519696
0.3,0.1,0.5,1092,eta0,F,0.7210776545166402
0.3,0.1,0.5,1092,eta0,ACC,0.9087610160705029
0.3,0.1,0.5,1092,eta0_bench,AUC,0.9260424368519696
0.3,0.1,0.5,1092,eta0_bench,F,0.6311111111111111
0.3,0.1,0.5,1092,eta0_bench,ACC,0.892431311560394
0.3,0.1,0.5,1092,eta1,AUC,0.8617377400780617
0.3,0.1,0.5,1092,eta1,F,0.7511210762331839
0.3,0.1,0.5,1092,eta1,ACC,0.7128815312984997
0.3,0.1,0.5,1092,eta1_bench,AUC,0.7940033083862547
0.3,0.1,0.5,1092,eta1_bench,F,0.45344467640918573
0.3,0.1,0.5,1092,eta1_bench,ACC,0.6614071391619245
0.3,0.1,0.5,1092,eta,AUC,0.8954294609811083
0.3,0.1,0.5,1092,eta,F,0.745726872246696
0.3,0.1,0.5,1092,eta,ACC,0.8131796996374935
0.3,0.1,0.5,1092,eta_bench,AUC,0.8947341374612704
0.3,0.1,0.5,1092,eta_bench,F,0.5222065063649223
0.3,0.1,0.5,1092,eta_bench,ACC,0.7813309166235112
0.3,0.1,0.5,6993,eta0,AUC,0.9328550303488832
0.3,0.1,0.5,6993,eta0,F,0.7226219024780175
0.3,0.1,0.5,6993,eta0,ACC,0.910057024364956
0.3,0.1,0.5,6993,eta0_bench,AUC,0.9328550303488832
0.3,0.1,0.5,6993,eta0_bench,F,0.6322350845948352
0.3,0.1,0.5,6993,eta0_bench,ACC,0.8929497148781752
0.3,0.1,0.5,6993,eta1,AUC,0.8631646292503425
0.3,0.1,0.5,6993,eta1,F,0.7445615608880916
0.3,0.1,0.5,6993,eta1,ACC,0.7053802379720642
0.3,0.1,0.5,6993,eta1_bench,AUC,0.7735067713499332
0.3,0.1,0.5,6993,eta1_bench,F,0.3500447627573859
0.3,0.1,0.5,6993,eta1_bench,ACC,0.6244180031039834
0.3,0.1,0.5,6993,eta,AUC,0.8954204190627751
0.3,0.1,0.5,6993,eta,F,0.7436213267640331
