a,b,c,model,accuracy,std
0.3,0.1,0.5,eta,0.811,0.005
0.3,0.1,0.5,eta0,0.904,0.007
0.3,0.1,0.5,eta0_bench,0.891,0.007
0.3,0.1,0.5,eta1,0.708,0.008
0.3,0.1,0.5,eta1_bench,0.645,0.021
0.3,0.1,0.5,eta_bench,0.773,0.013
0.3,0.1,0.5,gemma,0.823,0.014
0.3,0.2,0.5,eta,0.815,0.004
0.3,0.2,0.5,eta0,0.915,0.005
0.3,0.2,0.5,eta0_bench,0.912,0.005
0.3,0.2,0.5,eta1,0.708,0.008
0.3,0.2,0.5,eta1_bench,0.676,0.021
0.3,0.2,0.5,eta_bench,0.798,0.012
0.3,0.2,0.5,gemma,0.828,0.012
0.3,0.3,0.5,eta,0.817,0.004
0.3,0.3,0.5,eta0,0.92,0.005
0.3,0.3,0.5,eta0_bench,0.921,0.005
0.3,0.3,0.5,eta1,0.708,0.008
0.3,0.3,0.5,eta1_bench,0.696,0.015
0.3,0.3,0.5,eta_bench,0.815,0.007
0.3,0.3,0.5,gemma,0.835,0.009
0.3,0.4,0.5,eta,0.818,0.004
0.3,0.4,0.5,eta0,0.926,0.003
0.3,0.4,0.5,eta0_bench,0.928,0.004
0.3,0.4,0.5,eta1,0.708,0.008
0.3,0.4,0.5,eta1_bench,0.707,0.009
0.3,0.4,0.5,eta_bench,0.824,0.005
0.3,0.4,0.5,gemma,0.839,0.005
0.3,0.5,0.5,eta,0.819,0.004
0.3,0.5,0.5,eta0,0.93,0.003
0.3,0.5,0.5,eta0_bench,0.931,0.003
0.3,0.5,0.5,eta1,0.708,0.008
0.3,0.5,0.5,eta1_bench,0.718,0.01
0.3,0.5,0.5,eta_bench,0.831,0.005
0.3,0.5,0.5,gemma,0.843,0.006
0.3,0.6,0.5,eta,0.82,0.003
0.3,0.6,0.5,eta0,0.936,0.003
0.3,0.6,0.5,eta0_bench,0.934,0.003
0.3,0.6,0.5,eta1,0.708,0.008
0.3,0.6,0.5,eta1_bench,0.725,0.011
0.3,0.6,0.5,eta_bench,0.838,0.006
0.3,0.6,0.5,gemma,0.847,0.006
0.3,0.7,0.5,eta,0.823,0.004
0.3,0.7,0.5,eta0,0.945,0.003
0.3,0.7,0.5,eta0_bench,0.938,0.003
0.3,0.7,0.5,eta1,0.708,0.008
0.3,0.7,0.5,eta1_bench,0.73,0.012
0.3,0.7,0.5,eta_bench,0.842,0.006
0.3,0.7,0.5,gemma,0.85,0.007
0.3,0.8,0.5,eta,0.825,0.004
0.3,0.8,0.5,eta0,0.952,0.004
0.3,0.8,0.5,eta0_bench,0.939,0.004
0.3,0.8,0.5,eta1,0.708,0.008
