a,b,c,model,accuracy,std
0.3,0.5,0.1,eta,0.844,0.004
0.3,0.5,0.1,eta0,0.923,0.004
0.3,0.5,0.1,eta0_bench,0.889,0.006
0.3,0.5,0.1,eta1,0.708,0.008
0.3,0.5,0.1,eta1_bench,0.701,0.008
0.3,0.5,0.1,eta_bench,0.824,0.005
0.3,0.5,0.1,gemma,0.822,0.005
0.3,0.5,0.2,eta,0.844,0.003
0.3,0.5,0.2,eta0,0.933,0.005
0.3,0.5,0.2,eta0_bench,0.918,0.006
0.3,0.5,0.2,eta1,0.708,0.008
0.3,0.5,0.2,eta1_bench,0.707,0.012
0.3,0.5,0.2,eta_bench,0.837,0.005
0.3,0.5,0.2,gemma,0.836,0.004
0.3,0.5,0.3,eta,0.838,0.003
0.3,0.5,0.3,eta0,0.934,0.004
0.3,0.5,0.3,eta0_bench,0.928,0.005
0.3,0.5,0.3,eta1,0.708,0.008
0.3,0.5,0.3,eta1_bench,0.715,0.013
0.3,0.5,0.3,eta_bench,0.84,0.005
0.3,0.5,0.3,gemma,0.843,0.006
0.3,0.5,0.4,eta,0.83,0.004
0.3,0.5,0.4,eta0,0.934,0.005
0.3,0.5,0.4,eta0_bench,0.932,0.005
0.3,0.5,0.4,eta1,0.708,0.008
0.3,0.5,0.4,eta1_bench,0.716,0.011
0.3,0.5,0.4,eta_bench,0.838,0.005
0.3,0.5,0.4,gemma,0.843,0.005
0.3,0.5,0.5,eta,0.819,0.004
0.3,0.5,0.5,eta0,0.93,0.003
0.3,0.5,0.5,eta0_bench,0.931,0.003
0.3,0.5,0.5,eta1,0.708,0.008
0.3,0.5,0.5,eta1_bench,0.718,0.01
0.3,0.5,0.5,eta_bench,0.831,0.005
0.3,0.5,0.5,gemma,0.843,0.006
0.3,0.5,0.6,eta,0.805,0.005
0.3,0.5,0.6,eta0,0.923,0.004
0.3,0.5,0.6,eta0_bench,0.926,0.004
0.3,0.5,0.6,eta1,0.708,0.008
0.3,0.5,0.6,eta1_bench,0.717,0.009
0.3,0.5,0.6,eta_bench,0.819,0.005
0.3,0.5,0.6,gemma,0.838,0.007
0.3,0.5,0.7,eta,0.789,0.006
0.3,0.5,0.7,eta0,0.914,0.006
0.3,0.5,0.7,eta0_bench,0.913,0.005
0.3,0.5,0.7,eta1,0.708,0.008
0.3,0.5,0.7,eta1_bench,0.714,0.01
0.3,0.5,0.7,eta_bench,0.802,0.006
0.3,0.5,0.7,gemma,0.832,0.009
0.3,0.5,0.8,eta,0.769,0.006
0.3,0.5,0.8,eta0,0.896,0.007
0.3,0.5,0.8,eta0_bench,0.89,0.006
0.3,0.5,0.8,eta1,0.708,0.008
0.3,0.5,0.8,eta1_bench,0.711,0.013
0.3,0.5,0.8,eta_bench,0.781,0.008
0.3,0.5,0.8,gemma,0.824,0.01
0.3,0.5,0.9,eta,0.745,0.007
0.3,0.5,0.9,eta0,0.866,0.012
0.3,0.5,0.9,eta0_bench,0.836,0.012
0.3,0.5,0.9,eta1,0.708,0.008
0.3,0.5,0.9,eta1_bench,0.71,0.012
0.3,0.5,0.9,eta_bench,0.756,0.008
0.3,0.5,0.9,gemma,0.817,0.011
0.5,0.5,0.1,eta,0.869,0.002
0.5,0.5,0.1,eta0,0.923,0.004
0.5,0.5,0.1,eta0_bench,0.889,0.006
0.5,0.5,0.1,eta1,0.76,0.006
0.5,0.5,0.1,eta1_bench,0.62,0.01
0.5,0.5,0.1,eta_bench,0.801,0.006
0.5,0.5,0.1,gemma,0.796,0.006
0.5,0.5,0.2,eta,0.87,0.003
0.5,0.5,0.2,eta0,0.933,0.005
0.5,0.5,0.2,eta0_bench,0.918,0.006
0.5,0.5,0.2,eta1,0.76,0.006
0.5,0.5,0.2,eta1_bench,0.631,0.015
0.5,0.5,0.2,eta_bench,0.816,0.006
0.5,0.5,0.2,gemma,0.814,0.006
0.5,0.5,0.3,eta,0.866,0.001
0.5,0.5,0.3,eta0,0.934,0.004
0.5,0.5,0.3,eta0_bench,0.928,0.005
0.5,0.5,0.3,eta1,0.76,0.006
0.5,0.5,0.3,eta1_bench,0.64,0.017
0.5,0.5,0.3,eta_bench,0.818,0.008
0.5,0.5,0.3,gemma,0.821,0.007
0.5,0.5,0.4,eta,0.86,0.002
0.5,0.5,0.4,eta0,0.934,0.005
0.5,0.5,0.4,eta0_bench,0.932,0.005
0.5,0.5,0.4,eta1,0.76,0.006
0.5,0.5,0.4,eta1_bench,0.644,0.014
0.5,0.5,0.4,eta_bench,0.813,0.008
0.5,0.5,0.4,gemma,0.821,0.008
0.5,0.5,0.5,eta,0.851,0.003
0.5,0.5,0.5,eta0,0.93,0.003
0.5,0.5,0.5,eta0_bench,0.931,0.003
0.5,0.5,0.5,eta1,0.76,0.006
0.5,0.5,0.5,eta1_bench,0.645,0.011
0.5,0.5,0.5,eta_bench,0.803,0.007
0.5,0.5,0.5,gemma,0.819,0.008
0.5,0.5,0.6,eta,0.84,0.004
0.5,0.5,0.6,eta0,0.923,0.004
0.5,0.5,0.6,eta0_bench,0.926,0.004
0.5,0.5,0.6,eta1,0.76,0.006
0.5,0.5,0.6,eta1_bench,0.645,0.011
0.5,0.5,0.6,eta_bench,0.787,0.007
0.5,0.5,0.6,gemma,0.813,0.009
0.5,0.5,0.7,eta,0.826,0.005
0.5,0.5,0.7,eta0,0.914,0.006
0.5,0.5,0.7,eta0_bench,0.913,0.005
0.5,0.5,0.7,eta1,0.76,0.006
0.5,0.5,0.7,eta1_bench,0.643,0.008
0.5,0.5,0.7,eta_bench,0.765,0.006
0.5,0.5,0.7,gemma,0.805,0.009
