a,b,c,model,accuracy,std
0.3,0.1,0.5,eta,0.742,0.007
0.3,0.1,0.5,eta0,0.705,0.026
0.3,0.1,0.5,eta0_bench,0.625,0.033
0.3,0.1,0.5,eta1,0.748,0.006
0.3,0.1,0.5,eta1_bench,0.407,0.058
0.3,0.1,0.5,eta_bench,0.493,0.045
0.3,0.1,0.5,gemma,0.663,0.036
0.3,0.2,0.5,eta,0.748,0.005
0.3,0.2,0.5,eta0,0.728,0.016
0.3,0.2,0.5,eta0_bench,0.7,0.021
0.3,0.2,0.5,eta1,0.748,0.006
0.3,0.2,0.5,eta1_bench,0.486,0.054
0.3,0.2,0.5,eta_bench,0.57,0.037
0.3,0.2,0.5,gemma,0.674,0.034
0.3,0.3,0.5,eta,0.748,0.006
0.3,0.3,0.5,eta0,0.727,0.02
0.3,0.3,0.5,eta0_bench,0.717,0.02
0.3,0.3,0.5,eta1,0.748,0.006
0.3,0.3,0.5,eta1_bench,0.537,0.035
0.3,0.3,0.5,eta_bench,0.613,0.023
0.3,0.3,0.5,gemma,0.689,0.023
0.3,0.4,0.5,eta,0.748,0.005
0.3,0.4,0.5,eta0,0.722,0.013
0.3,0.4,0.5,eta0_bench,0.72,0.016
0.3,0.4,0.5,eta1,0.748,0.006
0.3,0.4,0.5,eta1_bench,0.563,0.021
0.3,0.4,0.5,eta_bench,0.633,0.015
0.3,0.4,0.5,gemma,0.693,0.014
0.3,0.5,0.5,eta,0.745,0.005
0.3,0.5,0.5,eta0,0.702,0.015
0.3,0.5,0.5,eta0_bench,0.704,0.015
0.3,0.5,0.5,eta1,0.748,0.006
0.3,0.5,0.5,eta1_bench,0.587,0.02
0.3,0.5,0.5,eta_bench,0.646,0.014
0.3,0.5,0.5,gemma,0.696,0.013
0.3,0.6,0.5,eta,0.743,0.004
0.3,0.6,0.5,eta0,0.679,0.015
0.3,0.6,0.5,eta0_bench,0.679,0.011
0.3,0.6,0.5,eta1,0.748,0.006
0.3,0.6,0.5,eta1_bench,0.603,0.023
0.3,0.6,0.5,eta_bench,0.657,0.018
0.3,0.6,0.5,gemma,0.7,0.015
0.3,0.7,0.5,eta,0.742,0.005
0.3,0.7,0.5,eta0,0.654,0.016
0.3,0.7,0.5,eta0_bench,0.64,0.016
0.3,0.7,0.5,eta1,0.748,0.006
0.3,0.7,0.5,eta1_bench,0.613,0.025
0.3,0.7,0.5,eta_bench,0.661,0.018
0.3,0.7,0.5,gemma,0.698,0.018
0.3,0.8,0.5,eta,0.74,0.005
0.3,0.8,0.5,eta0,0.594,0.024
0.3,0.8,0.5,eta0_bench,0.557,0.018
0.3,0.8,0.5,eta1,0.748,0.006
0.3,0.8,0.5,eta1_bench,0.628,0.016
0.3,0.8,0.5,eta_bench,0.667,0.014
0.3,0.8,0.5,gemma,0.695,0.013
0.3,0.9,0.5,eta,0.739,0.005
0.3,0.9,0.5,eta0,0.493,0.017
0.3,0.9,0.5,eta0_bench,0.414,0.019
0.3,0.9,0.5,eta1,0.748,0.006
0.3,0.9,0.5,eta1_bench,0.635,0.014
0.3,0.9,0.5,eta_bench,0.669,0.014
0.3,0.9,0.5,gemma,0.694,0.013
0.5,0.1,0.5,eta,0.79,0.005
0.5,0.1,0.5,eta0,0.705,0.026
0.5,0.1,0.5,eta0_bench,0.625,0.033
0.5,0.1,0.5,eta1,0.812,0.005
0.5,0.1,0.5,eta1_bench,0.353,0.054
0.5,0.1,0.5,eta_bench,0.45,0.042
0.5,0.1,0.5,gemma,0.64,0.038
0.5,0.2,0.5,eta,0.796,0.003
0.5,0.2,0.5,eta0,0.728,0.016
0.5,0.2,0.5,eta0_bench,0.7,0.021
0.5,0.2,0.5,eta1,0.812,0.005
0.5,0.2,0.5,eta1_bench,0.437,0.044
0.5,0.2,0.5,eta_bench,0.532,0.032
0.5,0.2,0.5,gemma,0.655,0.03
0.5,0.3,0.5,eta,0.798,0.004
0.5,0.3,0.5,eta0,0.727,0.02
0.5,0.3,0.5,eta0_bench,0.717,0.02
0.5,0.3,0.5,eta1,0.812,0.005
0.5,0.3,0.5,eta1_bench,0.491,0.035
0.5,0.3,0.5,eta_bench,0.574,0.025
0.5,0.3,0.5,gemma,0.665,0.022
0.5,0.4,0.5,eta,0.799,0.004
0.5,0.4,0.5,eta0,0.722,0.013
0.5,0.4,0.5,eta0_bench,0.72,0.016
0.5,0.4,0.5,eta1,0.812,0.005
0.5,0.4,0.5,eta1_bench,0.517,0.026
0.5,0.4,0.5,eta_bench,0.594,0.019
0.5,0.4,0.5,gemma,0.669,0.017
0.5,0.5,0.5,eta,0.797,0.004
0.5,0.5,0.5,eta0,0.702,0.015
0.5,0.5,0.5,eta0_bench,0.704,0.015
0.5,0.5,0.5,eta1,0.812,0.005
0.5,0.5,0.5,eta1_bench,0.54,0.022
0.5,0.5,0.5,eta_bench,0.605,0.018
0.5,0.5,0.5,gemma,0.671,0.018
0.5,0.6,0.5,eta,0.796,0.003
0.5,0.6,0.5,eta0,0.679,0.015
0.5,0.6,0.5,eta0_bench,0.679,0.011
0.5,0.6,0.5,eta1,0.812,0.005
0.5,0.6,0.5,eta1_bench,0.557,0.024
0.5,0.6,0.5,eta_bench,0.617,0.02
0.5,0.6,0.5,gemma,0.674,0.016
0.5,0.7,0.5,eta,0.797,0.004
0.5,0.7,0.5,eta0,0.654,0.016
0.5,0.7,0.5,eta0_bench,0.64,0.016
0.5,0.7,0.5,eta1,0.812,0.005
0.5,0.7,0.5,eta1_bench,0.569,0.025
0.5,0.7,0.5,eta_bench,0.621,0.019
0.5,0.7,0.5,gemma,0.672,0.018
0.5,0.8,0.5,eta,0.797,0.004
0.5,0.8,0.5,eta0,0.594,0.024
0.5,0.8,0.5,eta0_bench,0.557,0.018
0.5,0.8,0.5,eta1,0.812,0.005
0.5,0.8,0.5,eta1_bench,0.585,0.015
0.5,0.8,0.5,eta_bench,0.624,0.016
0.5,0.8,0.5,gemma,0.668,0.017
0.5,0.9,0.5,eta,0.798,0.004
0.5,0.9,0.5,eta0,0.493,0.017
0.5,0.9,0.5,eta0_bench,0.414,0.019
0.5,0.9,0.5,eta1,0.812,0.005
0.5,0.9,0.5,eta1_bench,0.595,0.014
0.5,0.9,0.5,eta_bench,0.625,0.013
0.5,0.9,0.5,gemma,0.665,0.013
0.7,0.1,0.5,eta,0.834,0.007
0.7,0.1,0.5,eta0,0.705,0.026
0.7,0.1,0.5,eta0_bench,0.625,0.033
0.7,0.1,0.5,eta1,0.873,0.004
0.7,0.1,0.5,eta1_bench,0.316,0.046
0.7,0.1,0.5,eta_bench,0.422,0.037
0.7,0.1,0.5,gemma,0.628,0.034
0.7,0.2,0.5,eta,0.842,0.004
0.7,0.2,0.5,eta0,0.728,0.016
0.7,0.2,0.5,eta0_bench,0.7,0.021
0.7,0.2,0.5,eta1,0.873,0.004
0.7,0.2,0.5,eta1_bench,0.402,0.037
0.7,0.2,0.5,eta_bench,0.503,0.025
0.7,0.2,0.5,gemma,0.638,0.025
0.7,0.3,0.5,eta,0.844,0.005
0.7,0.3,0.5,eta0,0.727,0.02
0.7,0.3,0.5,eta0_bench,0.717,0.02
0.7,0.3,0.5,eta1,0.873,0.004
0.7,0.3,0.5,eta1_bench,0.453,0.031
0.7,0.3,0.5,eta_bench,0.544,0.021
0.7,0.3,0.5,gemma,0.65,0.02
0.7,0.4,0.5,eta,0.846,0.004
0.7,0.4,0.5,eta0,0.722,0.013
0.7,0.4,0.5,eta0_bench,0.72,0.016
0.7,0.4,0.5,eta1,0.873,0.004
0.7,0.4,0.5,eta1_bench,0.481,0.028
0.7,0.4,0.5,eta_bench,0.564,0.02
0.7,0.4,0.5,gemma,0.651,0.017
0.7,0.5,0.5,eta,0.846,0.004
0.7,0.5,0.5,eta0,0.702,0.015
0.7,0.5,0.5,eta0_bench,0.704,0.015
0.7,0.5,0.5,eta1,0.873,0.004
0.7,0.5,0.5,eta1_bench,0.507,0.025
0.7,0.5,0.5,eta_bench,0.576,0.019
0.7,0.5,0.5,gemma,0.655,0.02
0.7,0.6,0.5,eta,0.847,0.003
0.7,0.6,0.5,eta0,0.679,0.015
0.7,0.6,0.5,eta0_bench,0.679,0.011
0.7,0.6,0.5,eta1,0.873,0.004
0.7,0.6,0.5,eta1_bench,0.528,0.026
0.7,0.6,0.5,eta_bench,0.588,0.021
0.7,0.6,0.5,gemma,0.657,0.017
0.7,0.7,0.5,eta,0.849,0.003
0.7,0.7,0.5,eta0,0.654,0.016
0.7,0.7,0.5,eta0_bench,0.64,0.016
0.7,0.7,0.5,eta1,0.873,0.004
0.7,0.7,0.5,eta1_bench,0.54,0.027
0.7,0.7,0.5,eta_bench,0.591,0.022
0.7,0.7,0.5,gemma,0.654,0.019
0.7,0.8,0.5,eta,0.85,0.004
0.7,0.8,0.5,eta0,0.594,0.024
0.7,0.8,0.5,eta0_bench,0.557,0.018
0.7,0.8,0.5,eta1,0.873,0.004
0.7,0.8,0.5,eta1_bench,0.556,0.02
0.7,0.8,0.5,eta_bench,0.592,0.019
0.7,0.8,0.5,gemma,0.648,0.018
0.7,0.9,0.5,eta,0.854,0.003
0.7,0.9,0.5,eta0,0.493,0.017
0.7,0.9,0.5,eta0_bench,0.414,0.019
0.7,0.9,0.5,eta1,0.873,0.004
0.7,0.9,0.5,eta1_bench,0.568,0.017
0.7,0.9,0.5,eta_bench,0.592,0.015
0.7,0.9,0.5,gemma,0.645,0.017
