a,b,c,model,f,std
0.3,0.5,0.1,eta,0.72,0.005
0.3,0.5,0.1,eta0,0.577,0.017
0.3,0.5,0.1,eta0_bench,0.509,0.016
0.3,0.5,0.1,eta1,0.748,0.006
0.3,0.5,0.1,eta1_bench,0.552,0.018
0.3,0.5,0.1,eta_bench,0.563,0.014
0.3,0.5,0.1,gemma,0.566,0.013
0.3,0.5,0.2,eta,0.731,0.005
0.3,0.5,0.2,eta0,0.624,0.019
0.3,0.5,0.2,eta0_bench,0.592,0.022
0.3,0.5,0.2,eta1,0.748,0.006
0.3,0.5,0.2,eta1_bench,0.565,0.026
0.3,0.5,0.2,eta_bench,0.597,0.017
0.3,0.5,0.2,gemma,0.61,0.016
0.3,0.5,0.3,eta,0.736,0.004
0.3,0.5,0.3,eta0,0.652,0.013
0.3,0.5,0.3,eta0_bench,0.64,0.018
0.3,0.5,0.3,eta1,0.748,0.006
0.3,0.5,0.3,eta1_bench,0.581,0.028
0.3,0.5,0.3,eta_bench,0.622,0.018
0.3,0.5,0.3,gemma,0.648,0.017
0.3,0.5,0.4,eta,0.742,0.005
0.3,0.5,0.4,eta0,0.68,0.019
0.3,0.5,0.4,eta0_bench,0.679,0.019
0.3,0.5,0.4,eta1,0.748,0.006
0.3,0.5,0.4,eta1_bench,0.584,0.025
0.3,0.5,0.4,eta_bench,0.637,0.016
0.3,0.5,0.4,gemma,0.673,0.014
0.3,0.5,0.5,eta,0.745,0.005
0.3,0.5,0.5,eta0,0.702,0.015
0.3,0.5,0.5,eta0_bench,0.704,0.015
0.3,0.5,0.5,eta1,0.748,0.006
0.3,0.5,0.5,eta1_bench,0.587,0.02
0.3,0.5,0.5,eta_bench,0.646,0.014
0.3,0.5,0.5,gemma,0.696,0.013
0.3,0.5,0.6,eta,0.747,0.005
0.3,0.5,0.6,eta0,0.721,0.016
0.3,0.5,0.6,eta0_bench,0.722,0.018
0.3,0.5,0.6,eta1,0.748,0.006
0.3,0.5,0.6,eta1_bench,0.583,0.019
